LOGGED_AT (IST),STATE,DISTRICT,STATION,TEMP,RH,EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-07-14 00:40:10,ANDAMAN_AND_NICOBAR,NICOBAR,CAR_NICOBAR,27.5,95.0,32.3,Zone 4,64.2,Zone 5,32.3,Zone 4,63.2,Zone 5,48.2,Zone 5,65.9,Zone 5,61.0,Zone 5,67.8,Zone 5,64.2,Zone 5,69.3,Zone 5
2025-07-14 00:40:10,MIZORAM,SERCHHIP,SERCHHIP,23.0,33.0,20.9,Zone 3,33.8,Zone 4,20.9,Zone 3,33.2,Zone 4,26.3,Zone 4,36.8,Zone 4,30.2,Zone 4,40.1,Zone 4,33.8,Zone 4,44.4,Zone 5
2025-07-14 00:40:10,NAGALAND,DIMAPUR,DIMAPUR,29.3,92.0,39.4,Zone 5,67.1,Zone 5,39.4,Zone 5,66.2,Zone 5,60.5,Zone 5,68.4,Zone 5,64.4,Zone 5,70.8,Zone 6,67.1,Zone 5,74.2,Zone 6
2025-07-14 00:40:10,NAGALAND,KIPHIRE,KIPHIRE_AWS400,23.6,80.0,24.1,Zone 3,40.5,Zone 5,24.1,Zone 3,38.2,Zone 4,29.5,Zone 4,52.1,Zone 5,34.6,Zone 4,60.3,Zone 5,40.5,Zone 5,62.7,Zone 5
2025-07-14 00:40:10,NAGALAND,KOHIMA,KOHIMA,22.8,78.0,23.4,Zone 3,38.3,Zone 4,23.4,Zone 3,37.2,Zone 4,28.6,Zone 4,47.9,Zone 5,33.6,Zone 4,59.4,Zone 5,38.3,Zone 4,61.9,Zone 5
2025-07-14 00:40:10,NAGALAND,LONGLENG,SAKSHI,26.4,80.0,28.3,Zone 4,59.1,Zone 5,28.3,Zone 4,55.2,Zone 5,34.6,Zone 4,61.4,Zone 5,42.7,Zone 5,63.9,Zone 5,59.1,Zone 5,65.9,Zone 5
2025-07-14 00:40:10,NAGALAND,PEREN,JALUKIE,26.6,95.0,29.8,Zone 4,62.5,Zone 5,29.8,Zone 4,61.4,Zone 5,38.4,Zone 5,64.3,Zone 5,58.6,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
2025-07-14 00:40:10,NAGALAND,TUENSANG,THONOKNYU,20.2,100.0,20.8,Zone 3,35.8,Zone 4,20.8,Zone 3,34.6,Zone 4,25.7,Zone 4,45.4,Zone 5,30.9,Zone 4,58.4,Zone 5,35.8,Zone 4,61.4,Zone 5
2025-07-14 00:40:10,NAGALAND,ZUNHEBOTO,ZUNHEBOTO_KVK,22.7,100.0,23.7,Zone 3,49.5,Zone 5,23.7,Zone 3,44.7,Zone 5,29.4,Zone 4,59.2,Zone 5,35.1,Zone 4,62.0,Zone 5,49.5,Zone 5,64.2,Zone 5
2025-07-14 00:40:10,ODISHA,BALASORE,FM_UNIVERSITY,25.3,100.0,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-07-14 00:40:10,ODISHA,CUTTACK,CUTTACK_KVK,26.0,99.0,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
2025-07-14 00:40:10,ODISHA,GANJAM,BENAKUDA_KVK,25.9,93.0,28.6,Zone 4,61.2,Zone 5,28.6,Zone 4,60.1,Zone 5,35.6,Zone 4,63.2,Zone 5,52.6,Zone 5,65.5,Zone 5,61.2,Zone 5,67.2,Zone 5
2025-07-14 00:40:10,ODISHA,JHARSUGUDA,LIKERA,17.3,100.0,17.6,Zone 3,32.1,Zone 4,17.6,Zone 3,31.1,Zone 4,23.5,Zone 3,35.6,Zone 4,27.5,Zone 4,46.2,Zone 5,32.1,Zone 4,57.8,Zone 5
2025-07-14 00:40:10,ODISHA,KANDHAMAL,PHULBANI,25.8,99.0,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
2025-07-14 00:40:10,ODISHA,KENDRAPARA,KENDRAPARA,39.0,92.0,92.2,Zone 6,102.6,Zone 6,92.2,Zone 6,100.7,Zone 6,95.7,Zone 6,104.1,Zone 6,99.2,Zone 6,107.5,Zone 6,102.6,Zone 6,110.8,Zone 6
2025-07-14 00:40:10,ODISHA,KHURDHA,PITAPALLI,25.3,84.0,26.9,Zone 4,56.7,Zone 5,26.9,Zone 4,52.1,Zone 5,33.2,Zone 4,60.8,Zone 5,39.5,Zone 5,63.4,Zone 5,56.7,Zone 5,65.4,Zone 5
2025-07-14 00:40:10,ODISHA,MAYURBHANJ,BARIPADA,25.5,100.0,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-07-14 00:40:10,ODISHA,NAYAGARH,NAYAGARH,31.8,93.0,63.4,Zone 5,74.2,Zone 6,63.4,Zone 5,72.7,Zone 6,67.6,Zone 5,76.2,Zone 6,70.7,Zone 6,79.7,Zone 6,74.2,Zone 6,83.1,Zone 6
2025-07-14 00:40:10,ODISHA,RAYAGADA,GUNUPUR_KVK,27.2,100.0,31.8,Zone 4,64.5,Zone 5,31.8,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.5,Zone 6
2025-07-14 00:40:10,ODISHA,SAMBALPUR,DHANKAUDA,25.8,91.0,28.4,Zone 4,60.7,Zone 5,28.4,Zone 4,59.6,Zone 5,35.3,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
2025-07-14 00:40:10,ODISHA,SUNDERGARH,SUNDERGARH,28.1,88.0,32.4,Zone 4,63.5,Zone 5,32.4,Zone 4,62.5,Zone 5,43.8,Zone 5,65.2,Zone 5,60.1,Zone 5,67.2,Zone 5,63.5,Zone 5,68.8,Zone 5
2025-07-14 00:40:10,PUDUCHERRY,KARAIKAL,KARAIKAL,28.4,99.0,38.5,Zone 5,66.9,Zone 5,38.5,Zone 5,66.0,Zone 5,60.2,Zone 5,68.2,Zone 5,64.2,Zone 5,70.5,Zone 6,66.9,Zone 5,74.0,Zone 6
2025-07-14 00:40:10,MIZORAM,MAMIT,LENGPUI_KVK,26.3,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-07-14 00:40:10,PUDUCHERRY,MAHE,MAHE_JNV,24.3,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-07-14 00:40:10,MIZORAM,LAWNGTLAI,CHAWNHU,21.8,100.0,23.2,Zone 3,46.0,Zone 5,23.2,Zone 3,41.4,Zone 5,28.6,Zone 4,57.0,Zone 5,34.2,Zone 4,61.4,Zone 5,46.0,Zone 5,63.6,Zone 5
2025-07-14 00:40:10,MIZORAM,KHAWZAWL,KHAWZAWL,20.2,97.0,20.7,Zone 3,35.5,Zone 4,20.7,Zone 3,34.4,Zone 4,25.6,Zone 4,43.6,Zone 5,30.7,Zone 4,57.0,Zone 5,35.5,Zone 4,61.0,Zone 5
2025-07-14 00:40:10,MEGHALAYA,EAST_GARO_HILLS,WILLIAMNAGAR,25.4,99.0,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-07-14 00:40:10,MEGHALAYA,EAST_KHASI_HILLS,LABAN,22.0,80.0,22.3,Zone 3,37.0,Zone 4,22.3,Zone 3,35.9,Zone 4,27.4,Zone 4,43.9,Zone 5,32.3,Zone 4,57.2,Zone 5,37.0,Zone 4,61.1,Zone 5
2025-07-14 00:40:10,MEGHALAYA,EAST_KHASI_HILLS,MAWRYNGKNENG,23.9,81.0,24.7,Zone 3,44.2,Zone 5,24.7,Zone 3,39.8,Zone 5,30.3,Zone 4,55.6,Zone 5,35.6,Zone 4,61.0,Zone 5,44.2,Zone 5,63.3,Zone 5
