LOGGED_AT (IST),STATE,DISTRICT,STATION,TEMP,RH,EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-08-04 00:40:55,ANDAMAN_AND_NICOBAR,N_M_ANDAMAN,RANGAT_NIMBUTALA,25.5,99.0,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-08-04 00:40:55,MIZORAM,KOLASIB,KOLASIB,22.7,99.0,23.7,Zone 3,48.7,Zone 5,23.7,Zone 3,44.0,Zone 5,29.3,Zone 4,59.0,Zone 5,35.0,Zone 4,61.9,Zone 5,48.7,Zone 5,64.1,Zone 5
2025-08-04 00:40:55,MIZORAM,LAWNGTLAI,CHAWNHU,21.3,100.0,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
2025-08-04 00:40:55,MIZORAM,MAMIT,LENGPUI_KVK,24.1,100.0,25.4,Zone 4,59.1,Zone 5,25.4,Zone 4,55.3,Zone 5,32.2,Zone 4,61.4,Zone 5,42.9,Zone 5,64.0,Zone 5,59.1,Zone 5,65.9,Zone 5
2025-08-04 00:40:55,MIZORAM,SAIHA,SAIHA,19.7,100.0,20.2,Zone 3,35.0,Zone 4,20.2,Zone 3,33.8,Zone 4,25.1,Zone 3,42.6,Zone 5,30.1,Zone 4,56.1,Zone 5,35.0,Zone 4,60.8,Zone 5
2025-08-04 00:40:55,MIZORAM,SERCHHIP,SERCHHIP,21.9,67.0,21.6,Zone 3,35.6,Zone 4,21.6,Zone 3,34.7,Zone 4,26.8,Zone 4,38.9,Zone 4,31.3,Zone 4,49.4,Zone 5,35.6,Zone 4,59.4,Zone 5
2025-08-04 00:40:55,NAGALAND,DIMAPUR,DIMAPUR,26.4,99.0,30.4,Zone 4,63.3,Zone 5,30.4,Zone 4,62.3,Zone 5,43.0,Zone 5,65.1,Zone 5,59.9,Zone 5,67.1,Zone 5,63.3,Zone 5,68.7,Zone 5
2025-08-04 00:40:55,NAGALAND,KIPHIRE,KIPHIRE_AWS400,21.7,100.0,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
2025-08-04 00:40:55,NAGALAND,KOHIMA,CHIEPHOBOZOU_NERHEMA,20.9,100.0,22.0,Zone 3,39.6,Zone 5,22.0,Zone 3,36.2,Zone 4,27.1,Zone 4,51.3,Zone 5,32.5,Zone 4,60.1,Zone 5,39.6,Zone 5,62.5,Zone 5
2025-08-04 00:40:55,NAGALAND,LONGLENG,SAKSHI,22.9,100.0,24.3,Zone 3,53.0,Zone 5,24.3,Zone 3,48.2,Zone 5,30.3,Zone 4,59.9,Zone 5,36.1,Zone 4,62.6,Zone 5,53.0,Zone 5,64.8,Zone 5
2025-08-04 00:40:55,NAGALAND,PEREN,JALUKIE,25.2,98.0,27.1,Zone 4,60.5,Zone 5,27.1,Zone 4,59.4,Zone 5,34.1,Zone 4,62.6,Zone 5,49.3,Zone 5,65.0,Zone 5,60.5,Zone 5,66.8,Zone 5
2025-08-04 00:40:55,NAGALAND,TUENSANG,THONOKNYU,19.0,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-08-04 00:40:55,NAGALAND,WOKHA,WOKHA,20.7,97.0,21.3,Zone 3,36.3,Zone 4,21.3,Zone 3,35.1,Zone 4,26.2,Zone 4,46.4,Zone 5,31.4,Zone 4,59.1,Zone 5,36.3,Zone 4,61.6,Zone 5
