DISTRICT,STATION,TEMP,RH,EHI,Light Work Heat Stress Zone,Unnamed: 6,EHI_350 (in shade),Hard Labor Heat Stress Zone,LOGGED_AT (IST),EHI (in shade),Local Region,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun,EHI_350 (in shade °C)
CENTRAL_DELHI,PUSA_AMFU,26.2,64.0,27.2,Region 4,,42.9,Zone 5,2025-05-05 00:37:28,,,26.9,Zone 4,27.9,Zone 4,32.3,Zone 4,33.0,Zone 4,37.4,Zone 4,46.2,Zone 5,44.5,Zone 5,51.2,Zone 5,44.5
SOUTH_WEST_DELHI,NAJAFGARH,24.1,100.0,26.3,Region 4,,59.4,Zone 5,2025-05-05 00:37:28,,,26.1,Zone 4,29.0,Zone 4,32.9,Zone 4,47.5,Zone 5,45.9,Zone 5,52.6,Zone 5,59.8,Zone 5,56.3,Zone 5,59.8
NORTH_WEST_DELHI,PITAMPURA,26.9,73.0,29.0,Region 4,,55.9,Zone 5,2025-05-05 00:37:28,,,29.1,Zone 4,31.1,Zone 4,35.2,Zone 4,44.7,Zone 5,41.9,Zone 5,51.4,Zone 5,58.8,Zone 5,55.3,Zone 5,58.8
NORTH_WEST_DELHI,MUNGESHPUR,23.6,76.0,24.5,Region 2 or 3,,39.1,Zone 5,2025-05-05 00:37:28,,,24.4,Zone 3,25.2,Zone 4,29.8,Zone 4,30.5,Zone 4,34.9,Zone 4,41.5,Zone 5,40.4,Zone 5,50.1,Zone 5,40.4
NORTH_DELHI,DELHI_UNIVERSITY,25.9,63.0,26.7,Region 4,,41.0,Zone 5,2025-05-05 00:37:28,,,26.9,Zone 4,27.7,Zone 4,32.2,Zone 4,32.9,Zone 4,37.2,Zone 4,45.3,Zone 5,43.6,Zone 5,51.0,Zone 5,43.6
NEW_DELHI,LODI ROAD,27.8,58.0,29.0,Region 4,,46.3,Zone 5,2025-05-05 00:37:28,,,29.3,Zone 4,30.3,Zone 4,34.7,Zone 4,35.5,Zone 4,39.7,Zone 4,48.5,Zone 5,50.3,Zone 5,52.8,Zone 5,50.3
GURGAON,NORTHCAP_UNIVERSITY,26.9,54.0,27.5,Region 4,,41.0,Zone 4,2025-05-05 00:37:28,,,27.6,Zone 4,28.1,Zone 4,32.7,Zone 4,33.0,Zone 4,37.4,Zone 4,42.5,Zone 5,41.9,Zone 4,50.1,Zone 5,41.9
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,25.7,60.0,26.3,Region 4,,40.2,Zone 4,2025-05-05 00:37:28,,,26.0,Zone 4,26.6,Zone 4,31.2,Zone 4,31.6,Zone 4,36.1,Zone 4,39.7,Zone 5,40.6,Zone 4,49.4,Zone 5,40.6
NEW_DELHI,SPORTS_COMPLEX,28.1,70.0,30.7,Region 4,,59.3,Zone 5,2025-05-05 00:37:28,,,30.5,Zone 4,32.6,Zone 4,36.6,Zone 4,47.4,Zone 5,45.7,Zone 5,52.4,Zone 5,59.8,Zone 5,56.2,Zone 5,59.8
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,27.2,53.0,27.8,Region 4,,41.3,Zone 4,2025-05-05 00:37:28,,,27.5,Zone 4,28.0,Zone 4,32.6,Zone 4,32.8,Zone 4,37.3,Zone 4,41.5,Zone 5,41.7,Zone 4,49.8,Zone 5,41.7
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,29.5,52.0,30.9,Region 4,,49.7,Zone 5,2025-05-05 00:37:28,,,30.9,Zone 4,31.8,Zone 4,36.1,Zone 4,37.6,Zone 5,41.1,Zone 4,49.1,Zone 5,52.4,Zone 5,53.3,Zone 5,52.4
DELHI,KV_NARAYNA,26.1,56.0,26.6,Region 4,,40.1,Zone 4,2025-05-05 00:37:28,,,26.5,Zone 4,26.9,Zone 4,31.5,Zone 4,31.8,Zone 4,36.3,Zone 4,38.8,Zone 5,40.7,Zone 4,49.1,Zone 5,40.7
DELHI,KV_JANAKPURI,26.3,58.0,27.0,Region 4,,40.8,Zone 4,2025-05-05 00:37:28,,,27.2,Zone 4,27.9,Zone 4,32.4,Zone 4,32.9,Zone 4,37.3,Zone 4,43.5,Zone 5,41.9,Zone 4,50.4,Zone 5,41.9
DELHI,KVK_CRPF_CAMPUS,23.8,76.0,24.7,Region 2 or 3,,39.5,Zone 5,2025-05-05 00:37:28,,,25.0,Zone 3,26.0,Zone 4,30.5,Zone 4,31.4,Zone 4,35.7,Zone 4,44.5,Zone 5,43.2,Zone 5,50.9,Zone 5,43.2
DELHI,IGNOU,28.1,55.0,29.1,Region 4,,44.9,Zone 5,2025-05-05 00:37:28,,,29.0,Zone 4,29.8,Zone 4,34.3,Zone 4,34.9,Zone 4,39.1,Zone 4,47.5,Zone 5,47.1,Zone 5,51.9,Zone 5,47.1
GAZIABAD,KV2_AIRFORCE_HINDON,25.4,65.0,26.2,Region 4,,40.5,Zone 5,2025-05-05 00:37:28,,,26.3,Zone 4,27.2,Zone 4,31.7,Zone 4,32.3,Zone 4,36.7,Zone 4,44.2,Zone 5,42.6,Zone 5,50.7,Zone 5,42.6
GURGAON,NORTHCAP_UNIVERSITY,25.7,57.0,26.1,Region 4,,39.7,Zone 4,2025-05-05 01:40:00,,,25.9,Zone 4,26.3,Zone 4,31.0,Zone 4,31.2,Zone 4,35.7,Zone 4,37.0,Zone 5,40.1,Zone 4,48.6,Zone 5,40.1
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,25.1,Region 2 or 3,,55.3,Zone 5,2025-05-05 01:40:00,,,25.3,Zone 3,27.8,Zone 4,31.9,Zone 4,44.0,Zone 5,42.0,Zone 5,51.5,Zone 5,58.9,Zone 5,55.4,Zone 5,58.9
NORTH_WEST_DELHI,PITAMPURA,25.8,79.0,27.7,Region 4,,54.5,Zone 5,2025-05-05 01:40:00,,,28.0,Zone 4,30.1,Zone 4,34.2,Zone 4,43.5,Zone 5,41.0,Zone 5,51.1,Zone 5,58.1,Zone 5,55.1,Zone 5,58.1
NORTH_WEST_DELHI,MUNGESHPUR,22.8,77.0,23.7,Region 2 or 3,,37.9,Zone 4,2025-05-05 01:40:00,,,23.9,Zone 3,24.5,Zone 4,29.2,Zone 4,29.8,Zone 4,34.2,Zone 4,39.2,Zone 5,39.1,Zone 4,49.5,Zone 5,39.1
NORTH_DELHI,DELHI_UNIVERSITY,25.0,68.0,25.8,Region 4,,40.3,Zone 5,2025-05-05 01:40:00,,,25.8,Zone 4,26.7,Zone 4,31.3,Zone 4,32.0,Zone 4,36.3,Zone 4,43.9,Zone 5,42.4,Zone 5,50.6,Zone 5,42.4
NEW_DELHI,SPORTS_COMPLEX,26.6,78.0,28.9,Region 4,,58.5,Zone 5,2025-05-05 01:40:00,,,28.8,Zone 4,31.0,Zone 4,35.0,Zone 4,46.2,Zone 5,43.5,Zone 5,51.8,Zone 5,59.3,Zone 5,55.7,Zone 5,59.3
NEW_DELHI,LODI ROAD,26.8,62.0,27.9,Region 4,,44.5,Zone 5,2025-05-05 01:40:00,,,28.2,Zone 4,29.3,Zone 4,33.6,Zone 4,34.5,Zone 4,38.7,Zone 4,47.9,Zone 5,48.5,Zone 5,52.3,Zone 5,48.5
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,24.5,67.0,25.1,Region 2 or 3,,39.3,Zone 4,2025-05-05 01:40:00,,,25.1,Zone 3,25.9,Zone 4,30.5,Zone 4,31.0,Zone 4,35.4,Zone 4,40.0,Zone 5,40.1,Zone 4,49.6,Zone 5,40.1
DELHI,KV_JANAKPURI,25.0,67.0,25.8,Region 4,,40.2,Zone 5,2025-05-05 01:40:00,,,25.8,Zone 4,26.6,Zone 4,31.2,Zone 4,31.8,Zone 4,36.2,Zone 4,43.0,Zone 5,41.6,Zone 5,50.4,Zone 5,41.6
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,25.4,60.0,25.9,Region 4,,39.7,Zone 4,2025-05-05 01:40:00,,,26.0,Zone 4,26.6,Zone 4,31.2,Zone 4,31.6,Zone 4,36.1,Zone 4,39.7,Zone 5,40.6,Zone 4,49.4,Zone 5,40.6
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,28.4,56.0,29.7,Region 4,,47.7,Zone 5,2025-05-05 01:40:00,,,29.8,Zone 4,30.8,Zone 4,35.2,Zone 4,36.0,Zone 5,40.2,Zone 4,48.7,Zone 5,51.1,Zone 5,53.0,Zone 5,51.1
DELHI,KV_NARAYNA,24.7,67.0,25.4,Region 4,,39.7,Zone 4,2025-05-05 01:40:00,,,25.1,Zone 3,25.9,Zone 4,30.5,Zone 4,31.0,Zone 4,35.4,Zone 4,40.0,Zone 5,40.1,Zone 4,49.6,Zone 5,40.1
DELHI,KVK_CRPF_CAMPUS,23.2,78.0,24.2,Region 2 or 3,,38.7,Zone 4,2025-05-05 01:40:00,,,24.0,Zone 3,24.6,Zone 4,29.2,Zone 4,29.9,Zone 4,34.4,Zone 4,40.0,Zone 5,39.2,Zone 4,49.7,Zone 5,39.2
DELHI,IGNOU,27.0,57.0,27.8,Region 4,,41.7,Zone 5,2025-05-05 01:40:00,,,27.8,Zone 4,28.5,Zone 4,33.0,Zone 4,33.5,Zone 4,37.9,Zone 4,45.4,Zone 5,43.5,Zone 5,50.9,Zone 5,43.5
CENTRAL_DELHI,PUSA_AMFU,24.5,73.0,25.4,Region 4,,41.0,Zone 5,2025-05-05 01:40:00,,,25.4,Zone 4,26.5,Zone 4,31.0,Zone 4,31.8,Zone 4,36.2,Zone 4,45.1,Zone 5,43.7,Zone 5,51.0,Zone 5,43.7
GAZIABAD,KV2_AIRFORCE_HINDON,24.6,67.0,25.3,Region 2 or 3,,39.5,Zone 4,2025-05-05 01:40:00,,,25.1,Zone 3,25.9,Zone 4,30.5,Zone 4,31.0,Zone 4,35.4,Zone 4,40.0,Zone 5,40.1,Zone 4,49.6,Zone 5,40.1
GURGAON,NORTHCAP_UNIVERSITY,24.5,64.0,25.0,Region 2 or 3,,38.9,Zone 4,2025-05-05 02:38:24,,,25.0,Zone 3,25.6,Zone 4,30.2,Zone 4,30.6,Zone 4,35.1,Zone 4,37.5,Zone 5,39.6,Zone 4,48.9,Zone 5,39.6
SOUTH_WEST_DELHI,NAJAFGARH,22.9,100.0,24.7,Region 2 or 3,,52.6,Zone 5,2025-05-05 02:38:24,,,24.8,Zone 3,26.8,Zone 4,31.0,Zone 4,40.0,Zone 5,38.5,Zone 5,50.4,Zone 5,55.8,Zone 5,54.5,Zone 5,55.8
NORTH_WEST_DELHI,MUNGESHPUR,22.3,79.0,23.2,Region 2 or 3,,37.4,Zone 4,2025-05-05 02:38:24,,,23.4,Zone 3,23.9,Zone 4,28.6,Zone 4,29.2,Zone 4,33.7,Zone 4,37.8,Zone 5,38.5,Zone 4,49.1,Zone 5,38.5
NORTH_DELHI,DELHI_UNIVERSITY,24.2,71.0,25.0,Region 2 or 3,,39.4,Zone 4,2025-05-05 02:38:24,,,24.8,Zone 3,25.5,Zone 4,30.1,Zone 4,30.7,Zone 4,35.1,Zone 4,40.4,Zone 5,39.9,Zone 4,49.7,Zone 5,39.9
NEW_DELHI,SPORTS_COMPLEX,25.8,82.0,27.9,Region 4,,57.1,Zone 5,2025-05-05 02:38:24,,,28.3,Zone 4,30.6,Zone 4,34.6,Zone 4,46.6,Zone 5,44.0,Zone 5,52.0,Zone 5,59.4,Zone 5,55.8,Zone 5,59.4
NEW_DELHI,LODI ROAD,26.0,64.0,26.9,Region 4,,41.8,Zone 5,2025-05-05 02:38:24,,,26.9,Zone 4,27.9,Zone 4,32.3,Zone 4,33.0,Zone 4,37.4,Zone 4,46.2,Zone 5,44.5,Zone 5,51.2,Zone 5,44.5
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.7,73.0,24.5,Region 2 or 3,,38.9,Zone 4,2025-05-05 02:38:24,,,24.3,Zone 3,24.9,Zone 4,29.6,Zone 4,30.1,Zone 4,34.6,Zone 4,39.1,Zone 5,39.3,Zone 4,49.4,Zone 5,39.3
DELHI,KVK_CRPF_CAMPUS,22.6,82.0,23.7,Region 2 or 3,,38.3,Zone 5,2025-05-05 02:38:24,,,23.6,Zone 3,24.1,Zone 4,28.8,Zone 4,29.5,Zone 4,34.0,Zone 4,40.0,Zone 5,39.2,Zone 5,49.7,Zone 5,39.2
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,25.2,59.0,25.6,Region 4,,39.2,Zone 4,2025-05-05 02:38:24,,,25.4,Zone 4,25.8,Zone 4,30.5,Zone 4,30.7,Zone 4,35.2,Zone 4,36.1,Zone 5,39.7,Zone 4,48.4,Zone 5,39.7
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,27.4,58.0,28.4,Region 4,,44.0,Zone 5,2025-05-05 02:38:24,,,28.6,Zone 4,29.5,Zone 4,33.9,Zone 4,34.6,Zone 4,38.9,Zone 4,47.6,Zone 5,47.4,Zone 5,52.0,Zone 5,47.4
DELHI,KV_NARAYNA,24.1,70.0,24.8,Region 2 or 3,,39.1,Zone 4,2025-05-05 02:38:24,,,24.7,Zone 3,25.4,Zone 4,30.0,Zone 4,30.6,Zone 4,35.0,Zone 4,39.6,Zone 5,39.7,Zone 4,49.5,Zone 5,39.7
DELHI,KV_JANAKPURI,24.3,74.0,25.2,Region 2 or 3,,40.7,Zone 5,2025-05-05 02:38:24,,,25.5,Zone 4,26.6,Zone 4,31.1,Zone 4,32.0,Zone 4,36.3,Zone 4,45.9,Zone 5,44.6,Zone 5,51.3,Zone 5,44.6
DELHI,IGNOU,26.3,59.0,27.0,Region 4,,41.0,Zone 5,2025-05-05 02:38:24,,,27.3,Zone 4,28.0,Zone 4,32.5,Zone 4,33.0,Zone 4,37.4,Zone 4,44.5,Zone 5,42.7,Zone 5,50.7,Zone 5,42.7
CENTRAL_DELHI,PUSA_AMFU,23.7,77.0,24.7,Region 2 or 3,,39.6,Zone 5,2025-05-05 02:38:24,,,24.5,Zone 3,25.3,Zone 4,29.9,Zone 4,30.6,Zone 4,35.0,Zone 4,42.3,Zone 5,41.2,Zone 5,50.3,Zone 5,41.2
GAZIABAD,KV2_AIRFORCE_HINDON,23.7,73.0,24.5,Region 2 or 3,,38.9,Zone 4,2025-05-05 02:38:24,,,24.3,Zone 3,24.9,Zone 4,29.6,Zone 4,30.1,Zone 4,34.6,Zone 4,39.1,Zone 5,39.3,Zone 4,49.4,Zone 5,39.3
SOUTH_WEST_DELHI,NAJAFGARH,23.5,95.0,25.1,Region 2 or 3,,52.8,Zone 5,2025-05-05 03:38:32,,,25.1,Zone 3,27.2,Zone 4,31.4,Zone 4,39.6,Zone 5,38.0,Zone 5,50.2,Zone 5,55.4,Zone 5,54.3,Zone 5,55.4
NORTH_WEST_DELHI,PITAMPURA,23.7,96.0,25.4,Region 4,,54.9,Zone 5,2025-05-05 03:38:32,,,25.1,Zone 3,27.3,Zone 4,31.5,Zone 4,40.5,Zone 5,38.8,Zone 5,50.5,Zone 5,56.1,Zone 5,54.5,Zone 5,56.1
NORTH_WEST_DELHI,MUNGESHPUR,22.1,80.0,23.0,Region 2 or 3,,37.2,Zone 4,2025-05-05 03:38:32,,,22.9,Zone 3,23.2,Zone 4,28.0,Zone 4,28.5,Zone 4,33.0,Zone 4,35.6,Zone 5,37.8,Zone 4,48.5,Zone 5,37.8
NORTH_DELHI,DELHI_UNIVERSITY,23.8,69.0,24.5,Region 2 or 3,,38.5,Zone 4,2025-05-05 03:38:32,,,24.7,Zone 3,25.3,Zone 4,30.0,Zone 4,30.4,Zone 4,34.9,Zone 4,38.8,Zone 5,39.6,Zone 4,49.3,Zone 5,39.6
NEW_DELHI,SPORTS_COMPLEX,24.9,84.0,26.6,Region 4,,53.1,Zone 5,2025-05-05 03:38:32,,,26.8,Zone 4,28.8,Zone 4,33.0,Zone 4,41.0,Zone 5,38.9,Zone 5,50.5,Zone 5,56.2,Zone 5,54.5,Zone 5,56.2
NEW_DELHI,LODI ROAD,25.1,68.0,26.0,Region 4,,40.5,Zone 5,2025-05-05 03:38:32,,,25.8,Zone 4,26.7,Zone 4,31.3,Zone 4,32.0,Zone 4,36.3,Zone 4,43.9,Zone 5,42.4,Zone 5,50.6,Zone 5,42.4
GURGAON,NORTHCAP_UNIVERSITY,24.4,63.0,24.9,Region 2 or 3,,38.6,Zone 4,2025-05-05 03:38:32,,,25.0,Zone 3,25.5,Zone 4,30.2,Zone 4,30.4,Zone 4,35.0,Zone 4,36.7,Zone 5,39.5,Zone 4,48.6,Zone 5,39.5
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.8,77.0,23.7,Region 2 or 3,,37.9,Zone 4,2025-05-05 03:38:32,,,23.9,Zone 3,24.5,Zone 4,29.2,Zone 4,29.8,Zone 4,34.2,Zone 4,39.2,Zone 5,39.1,Zone 4,49.5,Zone 5,39.1
GAZIABAD,KV2_AIRFORCE_HINDON,22.7,77.0,23.6,Region 2 or 3,,37.8,Zone 4,2025-05-05 03:38:32,,,23.4,Zone 3,23.8,Zone 4,28.5,Zone 4,29.0,Zone 4,33.5,Zone 4,36.3,Zone 5,38.2,Zone 4,48.7,Zone 5,38.2
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,26.8,60.0,27.8,Region 4,,42.6,Zone 5,2025-05-05 03:38:32,,,28.0,Zone 4,29.0,Zone 4,33.4,Zone 4,34.1,Zone 4,38.4,Zone 4,47.3,Zone 5,46.5,Zone 5,51.8,Zone 5,46.5
DELHI,KV_NARAYNA,24.2,63.0,24.7,Region 2 or 3,,38.3,Zone 4,2025-05-05 03:38:32,,,24.4,Zone 3,24.8,Zone 4,29.5,Zone 4,29.7,Zone 4,34.3,Zone 4,34.3,Zone 4,38.8,Zone 4,47.8,Zone 5,38.8
DELHI,KV_JANAKPURI,24.9,64.0,25.5,Region 4,,39.5,Zone 4,2025-05-05 03:38:32,,,25.6,Zone 4,26.3,Zone 4,30.9,Zone 4,31.4,Zone 4,35.8,Zone 4,40.4,Zone 5,40.4,Zone 4,49.6,Zone 5,40.4
DELHI,KVK_CRPF_CAMPUS,23.2,76.0,24.1,Region 2 or 3,,38.5,Zone 4,2025-05-05 03:38:32,,,23.9,Zone 3,24.4,Zone 4,29.1,Zone 4,29.7,Zone 4,34.1,Zone 4,38.5,Zone 5,38.9,Zone 4,49.3,Zone 5,38.9
DELHI,IGNOU,25.4,62.0,26.0,Region 4,,40.0,Zone 4,2025-05-05 03:38:32,,,26.2,Zone 4,26.8,Zone 4,31.4,Zone 4,31.9,Zone 4,36.3,Zone 4,41.5,Zone 5,40.9,Zone 4,49.9,Zone 5,40.9
CENTRAL_DELHI,PUSA_AMFU,23.9,72.0,24.7,Region 2 or 3,,39.1,Zone 5,2025-05-05 03:38:32,,,24.8,Zone 3,25.6,Zone 4,30.2,Zone 4,30.8,Zone 4,35.2,Zone 4,41.3,Zone 5,40.1,Zone 5,50.0,Zone 5,40.1
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.8,66.0,24.3,Region 2 or 3,,38.1,Zone 4,2025-05-05 03:38:32,,,24.6,Zone 3,25.0,Zone 4,29.7,Zone 4,30.1,Zone 4,34.6,Zone 4,36.4,Zone 5,39.2,Zone 4,48.6,Zone 5,39.2
NEW_DELHI,LODI ROAD,24.2,71.0,25.0,Region 2 or 3,,39.4,Zone 4,2025-05-05 04:39:10,,,24.8,Zone 3,25.5,Zone 4,30.1,Zone 4,30.7,Zone 4,35.1,Zone 4,40.4,Zone 5,39.9,Zone 4,49.7,Zone 5,39.9
SOUTH_WEST_DELHI,NAJAFGARH,23.6,91.0,25.1,Region 2 or 3,,50.2,Zone 5,2025-05-05 04:39:10,,,25.0,Zone 3,26.7,Zone 4,31.0,Zone 4,36.2,Zone 5,36.8,Zone 4,49.2,Zone 5,52.3,Zone 5,53.4,Zone 5,52.3
NORTH_WEST_DELHI,PITAMPURA,24.2,84.0,25.5,Region 4,,48.4,Zone 5,2025-05-05 04:39:10,,,25.2,Zone 3,26.9,Zone 4,31.2,Zone 4,33.8,Zone 5,36.8,Zone 4,48.4,Zone 5,49.8,Zone 5,52.8,Zone 5,49.8
NORTH_WEST_DELHI,MUNGESHPUR,22.2,78.0,23.1,Region 2 or 3,,37.1,Zone 4,2025-05-05 04:39:10,,,22.8,Zone 3,23.1,Zone 4,27.9,Zone 4,28.3,Zone 4,32.9,Zone 4,34.3,Zone 5,37.6,Zone 4,48.1,Zone 5,37.6
NORTH_DELHI,DELHI_UNIVERSITY,23.0,73.0,23.7,Region 2 or 3,,37.8,Zone 4,2025-05-05 04:39:10,,,23.7,Zone 3,24.2,Zone 4,28.9,Zone 4,29.3,Zone 4,33.9,Zone 4,36.2,Zone 5,38.5,Zone 4,48.6,Zone 5,38.5
NEW_DELHI,SPORTS_COMPLEX,25.1,83.0,26.9,Region 4,,53.5,Zone 5,2025-05-05 04:39:10,,,26.7,Zone 4,28.6,Zone 4,32.8,Zone 4,40.0,Zone 5,38.5,Zone 4,50.2,Zone 5,55.4,Zone 5,54.3,Zone 5,55.4
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.4,80.0,23.4,Region 2 or 3,,37.7,Zone 4,2025-05-05 04:39:10,,,23.5,Zone 3,24.0,Zone 4,28.7,Zone 4,29.3,Zone 4,33.8,Zone 4,38.5,Zone 5,38.6,Zone 4,49.3,Zone 5,38.6
GURGAON,NORTHCAP_UNIVERSITY,24.5,60.0,24.9,Region 2 or 3,,38.4,Zone 4,2025-05-05 04:39:10,,,24.9,Zone 3,25.2,Zone 4,29.9,Zone 4,30.1,Zone 4,34.6,Zone 4,34.7,Zone 4,39.1,Zone 4,47.9,Zone 5,39.1
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,24.4,62.0,24.8,Region 2 or 3,,38.5,Zone 4,2025-05-05 04:39:10,,,24.9,Zone 3,25.4,Zone 4,30.1,Zone 4,30.3,Zone 4,34.9,Zone 4,35.9,Zone 5,39.4,Zone 4,48.4,Zone 5,39.4
GAZIABAD,KV2_AIRFORCE_HINDON,22.3,80.0,23.3,Region 2 or 3,,37.5,Zone 4,2025-05-05 04:39:10,,,23.5,Zone 3,24.0,Zone 4,28.7,Zone 4,29.3,Zone 4,33.8,Zone 4,38.5,Zone 5,38.6,Zone 4,49.3,Zone 5,38.6
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,26.8,60.0,27.8,Region 4,,42.6,Zone 5,2025-05-05 04:39:10,,,28.0,Zone 4,29.0,Zone 4,33.4,Zone 4,34.1,Zone 4,38.4,Zone 4,47.3,Zone 5,46.5,Zone 5,51.8,Zone 5,46.5
DELHI,KV_NARAYNA,23.4,68.0,24.0,Region 2 or 3,,37.8,Zone 4,2025-05-05 04:39:10,,,24.1,Zone 3,24.5,Zone 4,29.2,Zone 4,29.5,Zone 4,34.1,Zone 4,35.3,Zone 5,38.7,Zone 4,48.2,Zone 5,38.7
DELHI,KV_JANAKPURI,24.7,64.0,25.2,Region 2 or 3,,39.2,Zone 4,2025-05-05 04:39:10,,,25.0,Zone 3,25.6,Zone 4,30.2,Zone 4,30.6,Zone 4,35.1,Zone 4,37.5,Zone 5,39.6,Zone 4,48.9,Zone 5,39.6
DELHI,KVK_CRPF_CAMPUS,23.4,71.0,24.1,Region 2 or 3,,38.1,Zone 4,2025-05-05 04:39:10,,,24.2,Zone 3,24.7,Zone 4,29.4,Zone 4,29.9,Zone 4,34.4,Zone 4,37.5,Zone 5,39.1,Zone 4,48.9,Zone 5,39.1
DELHI,IGNOU,25.1,63.0,25.7,Region 4,,39.7,Zone 4,2025-05-05 04:39:10,,,25.6,Zone 4,26.2,Zone 4,30.8,Zone 4,31.2,Zone 4,35.7,Zone 4,39.5,Zone 5,40.3,Zone 4,49.4,Zone 5,40.3
CENTRAL_DELHI,PUSA_AMFU,23.8,73.0,24.6,Region 2 or 3,,39.1,Zone 5,2025-05-05 04:39:10,,,24.8,Zone 3,25.7,Zone 4,30.3,Zone 4,31.0,Zone 4,35.4,Zone 4,42.1,Zone 5,40.9,Zone 5,50.2,Zone 5,40.9
SOUTH_WEST_DELHI,NAJAFGARH,25.8,77.0,27.5,Region 4,,52.7,Zone 5,2025-05-05 07:59:14,,,27.9,Zone 4,29.7,Zone 4,33.9,Zone 4,41.5,Zone 5,39.5,Zone 4,50.5,Zone 5,56.5,Zone 5,54.6,Zone 5,56.5
NORTH_WEST_DELHI,PITAMPURA,27.2,71.0,29.3,Region 4,,55.9,Zone 5,2025-05-05 07:59:14,,,29.0,Zone 4,30.7,Zone 4,34.9,Zone 4,42.5,Zone 5,40.4,Zone 4,50.7,Zone 5,57.1,Zone 5,54.7,Zone 5,57.1
NORTH_WEST_DELHI,MUNGESHPUR,26.0,66.0,27.1,Region 4,,43.6,Zone 5,2025-05-05 07:59:14,,,27.1,Zone 4,28.1,Zone 4,32.6,Zone 4,33.4,Zone 4,37.7,Zone 4,47.3,Zone 5,46.4,Zone 5,51.8,Zone 5,46.4
NORTH_DELHI,DELHI_UNIVERSITY,26.4,64.0,27.5,Region 4,,44.1,Zone 5,2025-05-05 07:59:14,,,27.6,Zone 4,28.7,Zone 4,33.1,Zone 4,33.9,Zone 4,38.2,Zone 4,47.6,Zone 5,47.5,Zone 5,52.0,Zone 5,47.5
NEW_DELHI,SPORTS_COMPLEX,26.8,79.0,29.4,Region 4,,59.4,Zone 5,2025-05-05 07:59:14,,,29.7,Zone 4,32.3,Zone 4,36.2,Zone 4,48.2,Zone 5,48.4,Zone 5,53.2,Zone 5,60.3,Zone 5,56.9,Zone 5,60.3
NEW_DELHI,LODI ROAD,25.8,72.0,27.2,Region 4,,48.0,Zone 5,2025-05-05 07:59:14,,,27.5,Zone 4,29.0,Zone 4,33.3,Zone 4,36.5,Zone 5,38.6,Zone 4,49.1,Zone 5,52.0,Zone 5,53.3,Zone 5,52.0
GURGAON,NORTHCAP_UNIVERSITY,26.4,59.0,27.1,Region 4,,41.1,Zone 5,2025-05-05 07:59:14,,,27.3,Zone 4,28.0,Zone 4,32.5,Zone 4,33.0,Zone 4,37.4,Zone 4,44.5,Zone 5,42.7,Zone 5,50.7,Zone 5,42.7
GAZIABAD,KV2_AIRFORCE_HINDON,25.5,66.0,26.4,Region 4,,40.8,Zone 5,2025-05-05 07:59:14,,,26.4,Zone 4,27.3,Zone 4,31.8,Zone 4,32.5,Zone 4,36.9,Zone 4,45.1,Zone 5,43.5,Zone 5,50.9,Zone 5,43.5
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,24.8,64.0,25.4,Region 4,,39.4,Zone 4,2025-05-05 07:59:14,,,25.6,Zone 4,26.3,Zone 4,30.9,Zone 4,31.4,Zone 4,35.8,Zone 4,40.4,Zone 5,40.4,Zone 4,49.6,Zone 5,40.4
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,27.7,61.0,29.1,Region 4,,48.9,Zone 5,2025-05-05 07:59:14,,,28.8,Zone 4,30.0,Zone 4,34.3,Zone 4,35.2,Zone 4,39.4,Zone 4,48.6,Zone 5,50.5,Zone 5,52.8,Zone 5,50.5
DELHI,KV_NARAYNA,25.4,63.0,26.1,Region 4,,40.2,Zone 4,2025-05-05 07:59:14,,,26.2,Zone 4,27.0,Zone 4,31.5,Zone 4,32.0,Zone 4,36.4,Zone 4,42.4,Zone 5,41.1,Zone 4,50.2,Zone 5,41.1
DELHI,KV_JANAKPURI,25.9,61.0,26.6,Region 4,,40.7,Zone 5,2025-05-05 07:59:14,,,26.7,Zone 4,27.5,Zone 4,32.0,Zone 4,32.5,Zone 4,36.9,Zone 4,43.5,Zone 5,41.8,Zone 5,50.4,Zone 5,41.8
