STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,24.9,2026-09-07,00:45:00,97.0,2026-09-06,00:45:00,2026-09-07 01:01:47,27.0,Zone 4,60.3,Zone 5,27.0,Zone 4,59.2,Zone 5,33.9,Zone 4,62.4,Zone 5,48.3,Zone 5,64.8,Zone 5,60.3,Zone 5,66.7,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,26.3,2026-09-07,00:45:00,94.0,2026-09-06,00:45:00,2026-09-07 01:01:47,29.7,Zone 4,62.2,Zone 5,29.7,Zone 4,61.2,Zone 5,37.3,Zone 5,64.1,Zone 5,57.6,Zone 5,66.3,Zone 5,62.2,Zone 5,68.0,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,40.2,2026-09-07,00:45:00,95.0,2026-09-06,00:45:00,2026-09-07 01:01:47,99.8,Zone 6,110.1,Zone 6,99.8,Zone 6,108.1,Zone 6,103.3,Zone 6,111.5,Zone 6,106.7,Zone 6,114.8,Zone 6,110.1,Zone 6,118.1,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,25.7,2026-09-07,00:45:00,98.0,2026-09-06,00:45:00,2026-09-07 01:01:47,28.0,Zone 4,61.4,Zone 5,28.0,Zone 4,60.3,Zone 5,35.3,Zone 4,63.4,Zone 5,53.6,Zone 5,65.6,Zone 5,61.4,Zone 5,67.4,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,25.5,2026-09-07,00:45:00,82.0,2026-09-06,00:45:00,2026-09-07 01:01:47,26.8,Zone 4,55.0,Zone 5,26.8,Zone 4,50.3,Zone 5,32.9,Zone 4,60.4,Zone 5,38.6,Zone 4,63.0,Zone 5,55.0,Zone 5,65.1,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,25.2,2026-09-07,00:45:00,99.0,2026-09-06,00:45:00,2026-09-07 01:01:47,27.1,Zone 4,60.7,Zone 5,27.1,Zone 4,59.6,Zone 5,34.2,Zone 4,62.8,Zone 5,50.3,Zone 5,65.1,Zone 5,60.7,Zone 5,66.9,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,25.5,2026-09-07,00:45:00,96.0,2026-09-06,00:45:00,2026-09-07 01:01:47,27.9,Zone 4,60.9,Zone 5,27.9,Zone 4,59.8,Zone 5,34.9,Zone 4,63.0,Zone 5,51.5,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,25.6,2026-09-07,00:45:00,96.0,2026-09-06,00:45:00,2026-09-07 01:01:47,27.9,Zone 4,60.9,Zone 5,27.9,Zone 4,59.8,Zone 5,34.9,Zone 4,63.0,Zone 5,51.5,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,25.0,2026-09-07,00:45:00,86.0,2026-09-06,00:45:00,2026-09-07 01:01:47,26.2,Zone 4,55.1,Zone 5,26.2,Zone 4,50.5,Zone 5,32.5,Zone 4,60.4,Zone 5,38.2,Zone 4,63.1,Zone 5,55.1,Zone 5,65.1,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,22.9,2026-09-07,00:45:00,94.0,2026-09-06,00:45:00,2026-09-07 01:01:47,24.1,Zone 3,48.2,Zone 5,24.1,Zone 3,43.5,Zone 5,29.8,Zone 4,58.7,Zone 5,35.4,Zone 4,61.8,Zone 5,48.2,Zone 5,64.0,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,20.9,2026-09-07,00:45:00,92.0,2026-09-06,00:45:00,2026-09-07 01:01:47,21.6,Zone 3,36.6,Zone 4,21.6,Zone 3,35.5,Zone 4,26.7,Zone 4,46.2,Zone 5,31.8,Zone 4,59.0,Zone 5,36.6,Zone 4,61.5,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Pandirimamidi Hrs,25.2,2026-09-07,00:30:00,88.0,2026-09-06,00:30:00,2026-09-07 01:01:47,26.4,Zone 4,56.8,Zone 5,26.4,Zone 4,52.3,Zone 5,32.7,Zone 4,60.8,Zone 5,39.6,Zone 5,63.4,Zone 5,56.8,Zone 5,65.4,Zone 5
Andhra Pradesh,Anakapalli,Yellamanchilli Vskp,25.7,2026-09-07,00:45:00,100.0,2026-09-06,00:45:00,2026-09-07 01:01:47,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
Andhra Pradesh,Anantapur,Kh Govtdegcollege Dharmavaram,28.1,2026-09-07,00:45:00,70.0,2026-09-06,00:45:00,2026-09-07 01:01:47,29.9,Zone 4,59.1,Zone 5,29.9,Zone 4,55.2,Zone 5,35.9,Zone 4,61.4,Zone 5,42.7,Zone 5,63.9,Zone 5,59.1,Zone 5,65.9,Zone 5
Andhra Pradesh,Bapatla,Bapatla Aws400,27.2,2026-09-07,00:45:00,94.0,2026-09-06,00:45:00,2026-09-07 01:01:47,30.9,Zone 4,63.1,Zone 5,30.9,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
Andhra Pradesh,Bapatla,Chirala,28.1,2026-09-07,00:45:00,72.0,2026-09-06,00:45:00,2026-09-07 01:01:47,30.1,Zone 4,59.6,Zone 5,30.1,Zone 4,57.1,Zone 5,36.3,Zone 4,61.8,Zone 5,45.0,Zone 5,64.3,Zone 5,59.6,Zone 5,66.2,Zone 5
Andhra Pradesh,Eluru,Vijayarai,25.7,2026-09-07,00:45:00,74.0,2026-09-06,00:45:00,2026-09-07 01:01:47,26.3,Zone 4,47.7,Zone 5,26.3,Zone 4,43.0,Zone 5,32.0,Zone 4,58.3,Zone 5,37.2,Zone 4,61.7,Zone 5,47.7,Zone 5,63.9,Zone 5
Andhra Pradesh,Kakinada,Kakinada,27.1,2026-09-07,00:45:00,88.0,2026-09-06,00:45:00,2026-09-07 01:01:47,30.1,Zone 4,61.8,Zone 5,30.1,Zone 4,60.7,Zone 5,37.1,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
Andhra Pradesh,Kakinada,Peddapuram,26.4,2026-09-07,00:45:00,99.0,2026-09-06,00:45:00,2026-09-07 01:01:47,30.4,Zone 4,63.3,Zone 5,30.4,Zone 4,62.3,Zone 5,43.0,Zone 5,65.1,Zone 5,59.9,Zone 5,67.1,Zone 5,63.3,Zone 5,68.7,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Arg,26.4,2026-09-07,00:45:00,100.0,2026-09-06,00:45:00,2026-09-07 01:01:47,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Aws,26.5,2026-09-07,00:45:00,100.0,2026-09-06,00:45:00,2026-09-07 01:01:47,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
Andhra Pradesh,Krishna,Kv Gopalnagar Machilipatnam,28.1,2026-09-07,00:45:00,97.0,2026-09-06,00:45:00,2026-09-07 01:01:47,34.1,Zone 4,65.6,Zone 5,34.1,Zone 4,64.6,Zone 5,56.2,Zone 5,67.0,Zone 5,62.6,Zone 5,68.8,Zone 5,65.6,Zone 5,71.5,Zone 6
