STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,25.6,2026-06-15,00:30:00,97.0,2026-06-14,00:30:00,2026-06-15 00:53:11,27.9,Zone 4,61.1,Zone 5,27.9,Zone 4,60.0,Zone 5,35.1,Zone 4,63.2,Zone 5,52.6,Zone 5,65.5,Zone 5,61.1,Zone 5,67.2,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,27.2,2026-06-15,00:30:00,93.0,2026-06-14,00:30:00,2026-06-15 00:53:11,30.7,Zone 4,62.9,Zone 5,30.7,Zone 4,61.9,Zone 5,40.5,Zone 5,64.7,Zone 5,59.4,Zone 5,66.8,Zone 5,62.9,Zone 5,68.4,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,35.4,2026-06-15,00:30:00,97.0,2026-06-14,00:30:00,2026-06-15 00:53:11,79.0,Zone 6,89.6,Zone 6,79.0,Zone 6,87.8,Zone 6,82.6,Zone 6,91.4,Zone 6,86.1,Zone 6,94.8,Zone 6,89.6,Zone 6,98.1,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,26.4,2026-06-15,00:30:00,98.0,2026-06-14,00:30:00,2026-06-15 00:53:11,30.2,Zone 4,63.1,Zone 5,30.2,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,26.6,2026-06-15,00:30:00,96.0,2026-06-14,00:30:00,2026-06-15 00:53:11,30.0,Zone 4,62.7,Zone 5,30.0,Zone 4,61.6,Zone 5,39.5,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.3,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,26.4,2026-06-15,00:45:00,82.0,2026-06-14,00:45:00,2026-06-15 00:53:11,28.5,Zone 4,59.6,Zone 5,28.5,Zone 4,56.9,Zone 5,34.9,Zone 4,61.8,Zone 5,44.8,Zone 5,64.3,Zone 5,59.6,Zone 5,66.2,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,26.0,2026-06-15,00:30:00,99.0,2026-06-14,00:30:00,2026-06-15 00:53:11,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,27.7,2026-06-15,00:30:00,97.0,2026-06-14,00:30:00,2026-06-15 00:53:11,32.6,Zone 4,64.7,Zone 5,32.6,Zone 4,63.7,Zone 5,50.9,Zone 5,66.3,Zone 5,61.5,Zone 5,68.1,Zone 5,64.7,Zone 5,70.0,Zone 6
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,30.2,2026-06-15,00:45:00,95.0,2026-06-14,00:45:00,2026-06-15 00:53:11,51.9,Zone 5,68.7,Zone 5,51.9,Zone 5,67.9,Zone 5,62.9,Zone 5,70.3,Zone 6,66.4,Zone 5,73.8,Zone 6,68.7,Zone 5,77.2,Zone 6
Andaman And Nicobar,South Andaman,Swaraj Deep,28.0,2026-06-15,00:45:00,76.0,2026-06-14,00:45:00,2026-06-15 00:53:11,30.6,Zone 4,60.6,Zone 5,30.6,Zone 4,59.5,Zone 5,37.0,Zone 4,62.7,Zone 5,49.9,Zone 5,65.1,Zone 5,60.6,Zone 5,66.9,Zone 5
