STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
ANDAMAN_AND_NICOBAR,NICOBAR,CAMPBELL_BAY,25.4,2025-12-29,00:15:00,94.0,2025-12-28,00:15:00,2025-12-29 00:33:35,27.7,Zone 4,60.5,Zone 5,27.7,Zone 4,59.4,Zone 5,34.6,Zone 4,62.6,Zone 5,49.5,Zone 5,65.0,Zone 5,60.5,Zone 5,66.8,Zone 5
ANDAMAN_AND_NICOBAR,NICOBAR,NANCOWRY,26.8,2025-12-29,00:15:00,94.0,2025-12-28,00:15:00,2025-12-29 00:33:35,30.9,Zone 4,63.1,Zone 5,30.9,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
ANDAMAN_AND_NICOBAR,N_M_ANDAMAN,MAYABUNDER,26.1,2025-12-29,00:15:00,92.0,2025-12-28,00:15:00,2025-12-29 00:33:35,28.5,Zone 4,61.0,Zone 5,28.5,Zone 4,59.9,Zone 5,35.4,Zone 4,63.0,Zone 5,51.6,Zone 5,65.3,Zone 5,61.0,Zone 5,67.1,Zone 5
ANDAMAN_AND_NICOBAR,SOUTH_ANDAMAN,FERRARGUNJ,24.5,2025-12-29,00:15:00,82.0,2025-12-28,00:15:00,2025-12-29 00:33:35,25.2,Zone 3,48.4,Zone 5,25.2,Zone 3,43.6,Zone 5,31.2,Zone 4,58.8,Zone 5,36.6,Zone 4,61.8,Zone 5,48.4,Zone 5,64.0,Zone 5
ANDAMAN_AND_NICOBAR,SOUTH_ANDAMAN,HUT_BAY,23.4,2025-12-29,00:15:00,99.0,2025-12-28,00:15:00,2025-12-29 00:33:35,24.8,Zone 3,55.6,Zone 5,24.8,Zone 3,51.0,Zone 5,31.1,Zone 4,60.5,Zone 5,38.4,Zone 5,63.1,Zone 5,55.6,Zone 5,65.2,Zone 5
ANDAMAN_AND_NICOBAR,SOUTH_ANDAMAN,SHAHEED_DWEEP,24.3,2025-12-29,00:15:00,99.0,2025-12-28,00:15:00,2025-12-29 00:33:35,26.2,Zone 4,59.8,Zone 5,26.2,Zone 4,57.9,Zone 5,33.1,Zone 4,62.0,Zone 5,46.1,Zone 5,64.5,Zone 5,59.8,Zone 5,66.3,Zone 5
ANDAMAN_AND_NICOBAR,SOUTH_ANDAMAN,SRI_VIJAYA_PURAM_AWS400,26.6,2025-12-29,00:15:00,93.0,2025-12-28,00:15:00,2025-12-29 00:33:35,29.6,Zone 4,62.0,Zone 5,29.6,Zone 4,61.0,Zone 5,36.9,Zone 4,64.0,Zone 5,56.7,Zone 5,66.1,Zone 5,62.0,Zone 5,67.8,Zone 5
ANDAMAN_AND_NICOBAR,SOUTH_ANDAMAN,SWARAJ_DEEP,26.3,2025-12-29,00:15:00,86.0,2025-12-28,00:15:00,2025-12-29 00:33:35,28.9,Zone 4,60.5,Zone 5,28.9,Zone 4,59.4,Zone 5,35.5,Zone 4,62.6,Zone 5,49.2,Zone 5,65.0,Zone 5,60.5,Zone 5,66.8,Zone 5
ANDHRA_PRADESH,ALLURI_SITHARAMA_RAJU,ARAKU_VALLEY,10.9,2025-12-29,00:00:00,93.0,2025-12-28,00:00:00,2025-12-29 00:33:35,9.8,Zone 2,25.0,Zone 3,9.8,Zone 2,24.8,Zone 3,17.6,Zone 3,28.1,Zone 4,22.3,Zone 3,31.7,Zone 4,25.0,Zone 3,35.2,Zone 4
ANDHRA_PRADESH,ANAKAPALLI,YELLAMANCHILLI_VSKP,16.9,2025-12-29,00:15:00,100.0,2025-12-28,00:15:00,2025-12-29 00:33:35,16.9,Zone 3,31.4,Zone 4,16.9,Zone 3,30.5,Zone 4,23.1,Zone 3,34.9,Zone 4,26.9,Zone 4,43.8,Zone 5,31.4,Zone 4,55.8,Zone 5
ANDHRA_PRADESH,ANANTAPUR,KH_GOVTDEGCOLLEGE_DHARMAVARAM,16.6,2025-12-29,00:15:00,100.0,2025-12-28,00:15:00,2025-12-29 00:33:35,16.3,Zone 3,30.8,Zone 4,16.3,Zone 3,29.9,Zone 4,22.7,Zone 3,34.2,Zone 4,26.4,Zone 4,41.5,Zone 5,30.8,Zone 4,53.7,Zone 5
ANDHRA_PRADESH,BAPATLA,BAPATLA_AWS400,18.0,2025-12-29,00:15:00,100.0,2025-12-28,00:15:00,2025-12-29 00:33:35,18.3,Zone 3,32.7,Zone 4,18.3,Zone 3,31.7,Zone 4,23.9,Zone 3,36.3,Zone 4,28.1,Zone 4,48.6,Zone 5,32.7,Zone 4,59.2,Zone 5
ANDHRA_PRADESH,BAPATLA,CHIRALA,19.5,2025-12-29,00:15:00,84.0,2025-12-28,00:15:00,2025-12-29 00:33:35,19.4,Zone 3,33.7,Zone 4,19.4,Zone 3,32.7,Zone 4,24.8,Zone 3,37.1,Zone 4,29.2,Zone 4,47.7,Zone 5,33.7,Zone 4,59.0,Zone 5
ANDHRA_PRADESH,KAKINADA,KAKINADA,21.0,2025-12-29,00:00:00,86.0,2025-12-28,00:00:00,2025-12-29 00:33:35,21.4,Zone 3,36.0,Zone 4,21.4,Zone 3,34.9,Zone 4,26.4,Zone 4,42.5,Zone 5,31.3,Zone 4,56.0,Zone 5,36.0,Zone 4,60.8,Zone 5
ANDHRA_PRADESH,KONASEEMA,AMBAJIPETA_ARG,17.3,2025-12-29,00:15:00,99.0,2025-12-28,00:15:00,2025-12-29 00:33:35,17.6,Zone 3,32.0,Zone 4,17.6,Zone 3,31.1,Zone 4,23.5,Zone 3,35.5,Zone 4,27.5,Zone 4,45.7,Zone 5,32.0,Zone 4,57.4,Zone 5
ANDHRA_PRADESH,KONASEEMA,AMBAJIPETA_AWS,17.8,2025-12-29,00:15:00,97.0,2025-12-28,00:15:00,2025-12-29 00:33:35,18.1,Zone 3,32.5,Zone 4,18.1,Zone 3,31.6,Zone 4,23.9,Zone 3,36.0,Zone 4,28.0,Zone 4,47.2,Zone 5,32.5,Zone 4,58.6,Zone 5
ANDHRA_PRADESH,KRISHNA,KV_GOPALNAGAR_MACHILIPATNAM,28.7,2025-12-29,00:15:00,43.0,2025-12-28,00:15:00,2025-12-29 00:33:35,28.1,Zone 4,41.3,Zone 4,28.1,Zone 4,40.4,Zone 4,32.9,Zone 4,46.3,Zone 5,37.2,Zone 4,59.0,Zone 5,41.3,Zone 4,61.6,Zone 5
ANDHRA_PRADESH,KURNOOL,BANAVASI_KVK,,,,47.0,2025-12-28,00:15:00,2025-12-29 00:33:35,,,,,,,,,,,,,,,,,,,,
ANDHRA_PRADESH,NELLORE,NELLORE_KVK,21.2,2025-12-29,00:15:00,99.0,2025-12-28,00:15:00,2025-12-29 00:33:35,22.0,Zone 3,39.0,Zone 5,22.0,Zone 3,36.1,Zone 4,27.0,Zone 4,50.6,Zone 5,32.4,Zone 4,60.0,Zone 5,39.0,Zone 5,62.4,Zone 5
