STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Car Nicobar,27.5,2026-06-08,00:30:00,93.0,2026-06-07,00:30:00,2026-06-08 00:49:38,31.9,Zone 4,63.8,Zone 5,31.9,Zone 4,62.8,Zone 5,45.5,Zone 5,65.5,Zone 5,60.5,Zone 5,67.5,Zone 5,63.8,Zone 5,69.0,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,37.2,2026-06-08,00:30:00,98.0,2026-06-07,00:30:00,2026-06-08 00:49:38,86.8,Zone 6,97.3,Zone 6,86.8,Zone 6,95.5,Zone 6,90.4,Zone 6,98.9,Zone 6,93.9,Zone 6,102.3,Zone 6,97.3,Zone 6,105.7,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,27.5,2026-06-08,00:30:00,97.0,2026-06-07,00:30:00,2026-06-08 00:49:38,32.6,Zone 4,64.7,Zone 5,32.6,Zone 4,63.7,Zone 5,50.9,Zone 5,66.3,Zone 5,61.5,Zone 5,68.1,Zone 5,64.7,Zone 5,70.0,Zone 6
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,26.6,2026-06-08,00:30:00,99.0,2026-06-07,00:30:00,2026-06-08 00:49:38,30.4,Zone 4,63.3,Zone 5,30.4,Zone 4,62.3,Zone 5,43.0,Zone 5,65.1,Zone 5,59.9,Zone 5,67.1,Zone 5,63.3,Zone 5,68.7,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,27.7,2026-06-08,00:45:00,82.0,2026-06-07,00:45:00,2026-06-08 00:49:38,30.4,Zone 4,61.2,Zone 5,30.4,Zone 4,60.1,Zone 5,37.1,Zone 4,63.2,Zone 5,52.9,Zone 5,65.5,Zone 5,61.2,Zone 5,67.3,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,27.1,2026-06-08,00:30:00,99.0,2026-06-07,00:30:00,2026-06-08 00:49:38,31.6,Zone 4,64.2,Zone 5,31.6,Zone 4,63.2,Zone 5,48.2,Zone 5,65.9,Zone 5,61.0,Zone 5,67.8,Zone 5,64.2,Zone 5,69.3,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,27.9,2026-06-08,00:30:00,98.0,2026-06-07,00:30:00,2026-06-08 00:49:38,34.3,Zone 4,65.8,Zone 5,34.3,Zone 4,64.8,Zone 5,57.4,Zone 5,67.2,Zone 5,62.9,Zone 5,69.0,Zone 5,65.8,Zone 5,72.0,Zone 6
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,30.4,2026-06-08,00:45:00,99.0,2026-06-07,00:45:00,2026-06-08 00:49:38,60.9,Zone 5,71.7,Zone 6,60.9,Zone 5,70.3,Zone 6,65.7,Zone 5,73.8,Zone 6,68.7,Zone 5,77.3,Zone 6,71.7,Zone 6,80.8,Zone 6
Andaman And Nicobar,South Andaman,Swaraj Deep,27.8,2026-06-08,00:45:00,82.0,2026-06-07,00:45:00,2026-06-08 00:49:38,31.4,Zone 4,62.1,Zone 5,31.4,Zone 4,61.0,Zone 5,38.3,Zone 4,64.0,Zone 5,56.8,Zone 5,66.2,Zone 5,62.1,Zone 5,67.8,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,25.6,2026-06-08,00:30:00,89.0,2026-06-07,00:30:00,2026-06-08 00:49:38,27.3,Zone 4,59.5,Zone 5,27.3,Zone 4,56.5,Zone 5,33.9,Zone 4,61.7,Zone 5,44.3,Zone 5,64.2,Zone 5,59.5,Zone 5,66.1,Zone 5
