DISTRICT,STATION,TEMP,RH,WBGT,EHI,EHI_REGION,EHI_350 (shaded),REGION_350 (shaded),LOGGED_AT,LOGGED_AT (PST),EHI_350 (in shade),REGION_350 (in shade),Light Work Heat Stress Zone,,Hard Labor Heat Stress Zone,LOGGED_AT (IST),2025-05-03 08:27:28CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:27:28,CENTRAL_DELHI,PRAGATI_MAIDAN,25.3,86.0,27.4Zone 4,27.4,Zone 4,57.3Zone 5,57.3,Zone 5,2025-05-03 08:31:46CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:31:46
DELHI,IGNOU,23.0,99.0,,24.7,,,,,,52.5,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.0,100.0,,24.8,,,,,,53.3,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.1,87.0,,23.3,,,,,,38.0,,Region 2 or 3,,Region 4,2025-05-03 04:39:28,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,22.3,91.0,,23.7,,,,,,41.7,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.1,14.0,,20.6,,,,,,32.6,,Region 2 or 3,,Region 4,2025-05-03 04:39:28,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,22.8,99.0,,24.5,,,,,,51.1,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.0,95.0,,27.6,,,,,,59.9,,Region 4,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,22.4,100.0,,24.1,,,,,,49.1,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,23.2,98.0,,24.9,,,,,,53.1,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,22.5,97.0,,24.1,,,,,,47.4,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,21.6,100.0,,23.3,,,,,,43.6,,Region 2 or 3,,Region 5,2025-05-03 04:39:28,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,,25.1,,,,,,55.3,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.5,88.0,,23.8,,,,,,40.7,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.6,15.0,,21.3,,,,,,33.1,,Region 2 or 3,,Region 4,2025-05-03 06:39:52,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,24.0,100.0,,26.1,,,,,,59.2,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.1,99.0,,24.8,,,,,,53.2,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.2,99.0,,28.3,,,,,,61.1,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.2,97.0,,24.9,,,,,,52.3,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
DELHI,IGNOU,23.9,100.0,,26.0,,,,,,59.0,,Region 4,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 06:39:52,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.6,15.0,,21.3,,,,,,33.1,,Region 2 or 3,,Region 4,2025-05-03 06:42:54,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,,25.1,,,,,,55.3,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.5,88.0,,23.8,,,,,,40.7,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.1,99.0,,24.8,,,,,,53.2,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.2,99.0,,28.3,,,,,,61.1,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,24.0,100.0,,26.1,,,,,,59.2,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.2,97.0,,24.9,,,,,,52.3,,Region 2 or 3,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
DELHI,IGNOU,23.9,100.0,,26.0,,,,,,59.0,,Region 4,,Region 5,2025-05-03 06:42:54,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.5,88.0,,23.8,,,,,,40.7,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,23.6,15.0,,21.3,,,,,,33.1,,Region 2 or 3,,Region 4,2025-05-03 06:46:38,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,22.7,100.0,,24.5,,,,,,51.2,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.3,100.0,,25.1,,,,,,55.3,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.1,99.0,,24.8,,,,,,53.2,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.2,99.0,,28.3,,,,,,61.1,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,24.0,100.0,,26.1,,,,,,59.2,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.2,97.0,,24.9,,,,,,52.3,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
DELHI,IGNOU,23.9,100.0,,26.0,,,,,,59.0,,Region 4,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.2,100.0,,23.9,,,,,,47.7,,Region 2 or 3,,Region 5,2025-05-03 06:46:38,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.7,100.0,,25.6,,,,,,57.9,,Region 4,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.9,88.0,,24.2,,,,,,43.2,,Region 2 or 3,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.2,90.0,,24.6,,,,,,46.7,,Region 2 or 3,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.1,15.0,,21.9,,,,,,33.5,,Region 2 or 3,,Region 4,2025-05-03 06:52:08,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Region 2 or 3,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Region 2 or 3,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.9,98.0,,29.7,,,,,,62.1,,Region 4,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,91.0,,28.1,,,,,,59.9,,Region 4,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.5,94.0,,25.1,,,,,,52.0,,Region 2 or 3,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
DELHI,IGNOU,24.2,100.0,,26.5,,,,,,59.6,,Region 4,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.6,99.0,,25.4,,,,,,56.5,,Region 4,,Region 5,2025-05-03 06:52:08,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.7,100.0,,25.6,,,,,,57.9,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.9,88.0,,24.2,,,,,,43.2,,Region 2 or 3,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.9,90.0,,25.4,,,,,,51.4,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.1,15.0,,21.9,,,,,,33.5,,Region 2 or 3,,Region 4,2025-05-03 06:55:03,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Region 2 or 3,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.5,94.0,,25.1,,,,,,52.0,,Region 2 or 3,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.6,99.0,,25.4,,,,,,56.5,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.9,98.0,,29.7,,,,,,62.1,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,91.0,,28.1,,,,,,59.9,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Region 2 or 3,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
DELHI,IGNOU,24.2,100.0,,26.5,,,,,,59.6,,Region 4,,Region 5,2025-05-03 06:55:03,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.7,100.0,,25.6,,,,,,57.9,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.9,88.0,,24.2,,,,,,43.2,,Region 2 or 3,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.9,90.0,,25.4,,,,,,51.4,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.1,15.0,,21.9,,,,,,33.5,,Region 2 or 3,,Region 4,2025-05-03 06:58:02,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Region 2 or 3,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Region 2 or 3,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.6,99.0,,25.4,,,,,,56.5,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.9,98.0,,29.7,,,,,,62.1,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,91.0,,28.1,,,,,,59.9,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.5,94.0,,25.1,,,,,,52.0,,Region 2 or 3,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
DELHI,IGNOU,24.2,100.0,,26.5,,,,,,59.6,,Region 4,,Region 5,2025-05-03 06:58:02,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.9,88.0,,24.2,,,,,,43.2,,Region 2 or 3,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.9,90.0,,25.4,,,,,,51.4,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.1,15.0,,21.9,,,,,,33.5,,Region 2 or 3,,Region 4,2025-05-03 07:01:55,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Region 2 or 3,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.7,100.0,,25.6,,,,,,57.9,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.6,99.0,,25.4,,,,,,56.5,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.9,98.0,,29.7,,,,,,62.1,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,91.0,,28.1,,,,,,59.9,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.5,94.0,,25.1,,,,,,52.0,,Region 2 or 3,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
DELHI,IGNOU,24.2,100.0,,26.5,,,,,,59.6,,Region 4,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Region 2 or 3,,Region 5,2025-05-03 07:01:55,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,22.9,88.0,,24.2,,,,,,43.2,,Region 2 or 3,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.9,90.0,,25.4,,,,,,51.4,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.1,15.0,,21.9,,,,,,33.5,,Region 2 or 3,,Region 4,2025-05-03 07:04:28,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,24.1,100.0,,26.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Region 2 or 3,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.7,100.0,,25.6,,,,,,57.9,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,23.6,99.0,,25.4,,,,,,56.5,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,25.9,98.0,,29.7,,,,,,62.1,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,91.0,,28.1,,,,,,59.9,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.5,94.0,,25.1,,,,,,52.0,,Region 2 or 3,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
DELHI,IGNOU,24.2,100.0,,26.5,,,,,,59.6,,Region 4,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Region 2 or 3,,Region 5,2025-05-03 07:04:28,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.9,100.0,,26.0,,,,,,59.0,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,23.5,87.0,,24.8,,,,,,46.2,,Zone 2 or 3,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.9,90.0,,25.4,,,,,,51.4,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.4,15.0,,22.3,,,,,,33.7,,Zone 2 or 3,,Zone 4,2025-05-03 07:07:48,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,23.8,100.0,,25.8,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Zone 2 or 3,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Zone 2 or 3,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,26.3,96.0,,30.3,,,,,,62.4,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,86.0,,27.7,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.7,91.0,,25.2,,,,,,50.9,,Zone 2 or 3,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
DELHI,IGNOU,24.7,96.0,,27.1,,,,,,59.6,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,24.2,99.0,,26.4,,,,,,59.4,,Zone 4,,Zone 5,2025-05-03 07:07:48,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.4,15.0,,22.3,,,,,,33.7,,Zone 2 or 3,,Zone 4,2025-05-03 07:14:06,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.9,100.0,,26.0,,,,,,59.0,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,23.5,87.0,,24.8,,,,,,46.2,,Zone 2 or 3,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,23.9,90.0,,25.4,,,,,,51.4,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Zone 2 or 3,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,23.8,100.0,,25.8,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,24.2,99.0,,26.4,,,,,,59.4,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Zone 2 or 3,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,26.3,96.0,,30.3,,,,,,62.4,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,86.0,,27.7,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.7,91.0,,25.2,,,,,,50.9,,Zone 2 or 3,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
DELHI,IGNOU,24.7,96.0,,27.1,,,,,,59.6,,Zone 4,,Zone 5,2025-05-03 07:14:06,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,23.5,87.0,,24.8,,,,,,46.2,,Zone 2 or 3,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,24.9,87.0,,26.8,,,,,,55.6,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.4,15.0,,22.3,,,,,,33.7,,Zone 2 or 3,,Zone 4,2025-05-03 07:15:53,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,23.8,100.0,,25.8,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Zone 2 or 3,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.9,100.0,,26.0,,,,,,59.0,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,24.2,99.0,,26.4,,,,,,59.4,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,26.3,96.0,,30.3,,,,,,62.4,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,86.0,,27.7,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.7,91.0,,25.2,,,,,,50.9,,Zone 2 or 3,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
DELHI,IGNOU,24.7,96.0,,27.1,,,,,,59.6,,Zone 4,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Zone 2 or 3,,Zone 5,2025-05-03 07:15:53,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,23.9,100.0,,26.0,,,,,,59.0,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,23.5,87.0,,24.8,,,,,,46.2,,Zone 2 or 3,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,24.9,87.0,,26.8,,,,,,55.6,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,24.4,15.0,,22.3,,,,,,33.7,,Zone 2 or 3,,Zone 4,2025-05-03 07:18:10,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,23.8,100.0,,25.8,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,23.1,100.0,,24.9,,,,,,54.0,,Zone 2 or 3,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,22.6,100.0,,24.4,,,,,,50.5,,Zone 2 or 3,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,26.3,96.0,,30.3,,,,,,62.4,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,25.5,86.0,,27.7,,,,,,58.5,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,23.7,91.0,,25.2,,,,,,50.9,,Zone 2 or 3,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
DELHI,IGNOU,24.7,96.0,,27.1,,,,,,59.6,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,24.2,99.0,,26.4,,,,,,59.4,,Zone 4,,Zone 5,2025-05-03 07:18:10,,,,,,,,,,,,,,
