STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,26.5,2026-02-15,23:45:00,91.0,2026-02-15,23:45:00,2026-02-16 00:01:24,30.150000000000034,Zone 4,62.2,Zone 5,30.1,Zone 4,40.3,Zone 5,37.3,Zone 4,51.1,Zone 5,57.2,Zone 5,55.6,Zone 5,62.2,Zone 5,59.0,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,27.8,2026-02-15,23:45:00,88.0,2026-02-15,23:45:00,2026-02-16 00:01:24,32.650000000000034,Zone 4,64.0,Zone 5,33.1,Zone 4,48.1,Zone 5,46.6,Zone 5,53.9,Zone 5,60.7,Zone 5,58.0,Zone 5,64.0,Zone 5,61.1,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,30.9,2026-02-15,23:45:00,92.0,2026-02-15,23:45:00,2026-02-16 00:01:24,59.55000000000001,Zone 5,70.1,Zone 5,59.9,Zone 5,59.8,Zone 5,64.9,Zone 5,63.6,Zone 5,68.0,Zone 5,66.2,Zone 5,70.1,Zone 5,71.1,Zone 6
Andaman And Nicobar,N M Andaman,Mayabunder,23.0,2026-02-15,23:45:00,96.0,2026-02-15,23:45:00,2026-02-16 00:01:24,24.650000000000034,Zone 3,52.8,Zone 5,24.6,Zone 3,26.3,Zone 4,30.6,Zone 4,36.7,Zone 5,36.5,Zone 4,49.4,Zone 5,52.8,Zone 5,53.6,Zone 5
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,25.3,2026-02-15,23:45:00,85.0,2026-02-15,23:45:00,2026-02-16 00:01:24,27.350000000000023,Zone 4,59.3,Zone 5,27.7,Zone 4,30.0,Zone 4,34.0,Zone 4,45.8,Zone 5,43.3,Zone 5,51.8,Zone 5,59.3,Zone 5,55.7,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,23.4,2026-02-15,23:45:00,82.0,2026-02-15,23:45:00,2026-02-16 00:01:24,24.55000000000001,Zone 3,45.0,Zone 5,24.7,Zone 3,25.8,Zone 4,30.3,Zone 4,31.3,Zone 4,35.6,Zone 4,46.2,Zone 5,45.0,Zone 5,51.4,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,23.3,2026-02-15,23:45:00,98.0,2026-02-15,23:45:00,2026-02-16 00:01:24,25.05000000000001,Zone 3,57.5,Zone 5,25.2,Zone 3,27.6,Zone 4,31.7,Zone 4,42.3,Zone 5,40.3,Zone 5,51.0,Zone 5,57.5,Zone 5,55.0,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,25.7,2026-02-15,23:30:00,95.0,2026-02-15,23:30:00,2026-02-16 00:01:24,28.950000000000045,Zone 4,61.3,Zone 5,28.5,Zone 4,35.5,Zone 5,35.6,Zone 4,49.8,Zone 5,53.4,Zone 5,54.5,Zone 5,61.3,Zone 5,58.1,Zone 5
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,25.7,2026-02-15,23:45:00,92.0,2026-02-15,23:45:00,2026-02-16 00:01:24,28.650000000000034,Zone 4,60.7,Zone 5,28.2,Zone 4,32.5,Zone 5,35.1,Zone 4,48.9,Zone 5,50.3,Zone 5,53.7,Zone 5,60.7,Zone 5,57.3,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,15.3,2026-02-15,23:30:00,88.0,2026-02-15,23:30:00,2026-02-16 00:01:24,15.150000000000034,Zone 3,29.9,Zone 4,15.4,Zone 3,15.4,Zone 3,22.1,Zone 3,20.4,Zone 4,25.6,Zone 4,24.9,Zone 4,29.9,Zone 4,29.2,Zone 4
Andhra Pradesh,Alluri Sitharama Raju,Chintapalli Amfu,15.7,2026-02-15,23:45:00,88.0,2026-02-15,23:45:00,2026-02-16 00:01:24,15.650000000000034,Zone 3,29.9,Zone 4,15.4,Zone 3,15.4,Zone 3,22.1,Zone 3,20.4,Zone 4,25.6,Zone 4,24.9,Zone 4,29.9,Zone 4,29.2,Zone 4
Andhra Pradesh,Anakapalli,Yellamanchilli Vskp,20.5,2026-02-15,23:45:00,100.0,2026-02-15,23:45:00,2026-02-16 00:01:24,22.05000000000001,Zone 3,39.6,Zone 5,22.0,Zone 3,22.3,Zone 4,27.0,Zone 4,28.0,Zone 4,32.4,Zone 4,40.0,Zone 5,39.6,Zone 5,49.9,Zone 5
Andhra Pradesh,Anantapur,Kh Govtdegcollege Dharmavaram,21.1,2026-02-15,23:45:00,71.0,2026-02-15,23:45:00,2026-02-16 00:01:24,21.450000000000045,Zone 3,35.4,Zone 4,21.3,Zone 3,21.3,Zone 4,26.3,Zone 4,26.3,Zone 4,31.0,Zone 4,30.8,Zone 4,35.4,Zone 4,39.6,Zone 5
Andhra Pradesh,Bapatla,Bapatla Aws400,20.8,2026-02-15,23:30:00,93.0,2026-02-15,23:30:00,2026-02-16 00:01:24,22.150000000000034,Zone 3,38.2,Zone 5,22.3,Zone 3,22.6,Zone 4,27.3,Zone 4,28.2,Zone 4,32.6,Zone 4,38.5,Zone 5,38.2,Zone 5,49.4,Zone 5
Andhra Pradesh,Bapatla,Chirala,23.9,2026-02-15,23:45:00,78.0,2026-02-15,23:45:00,2026-02-16 00:01:24,24.950000000000045,Zone 3,44.9,Zone 5,25.0,Zone 3,26.2,Zone 4,30.7,Zone 4,31.7,Zone 4,36.0,Zone 4,46.2,Zone 5,44.9,Zone 5,51.4,Zone 5
Andhra Pradesh,Kakinada,Kakinada,22.9,2026-02-15,23:45:00,85.0,2026-02-15,23:45:00,2026-02-16 00:01:24,24.150000000000034,Zone 3,44.3,Zone 5,24.2,Zone 3,25.2,Zone 4,29.7,Zone 4,30.8,Zone 4,35.1,Zone 4,45.4,Zone 5,44.3,Zone 5,51.2,Zone 5
Andhra Pradesh,Kakinada,Peddapuram,23.4,2026-02-15,23:45:00,98.0,2026-02-15,23:45:00,2026-02-16 00:01:24,25.150000000000034,Zone 3,57.5,Zone 5,25.2,Zone 3,27.6,Zone 4,31.7,Zone 4,42.3,Zone 5,40.3,Zone 5,51.0,Zone 5,57.5,Zone 5,55.0,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Arg,20.4,2026-02-15,23:45:00,99.0,2026-02-15,23:45:00,2026-02-16 00:01:24,21.850000000000023,Zone 3,39.0,Zone 5,22.0,Zone 3,22.2,Zone 4,27.0,Zone 4,27.9,Zone 4,32.4,Zone 4,39.3,Zone 5,39.0,Zone 5,49.7,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Aws,20.9,2026-02-15,23:30:00,97.0,2026-02-15,23:30:00,2026-02-16 00:01:24,22.350000000000023,Zone 3,40.6,Zone 5,22.5,Zone 3,22.9,Zone 4,27.6,Zone 4,28.6,Zone 4,33.0,Zone 4,41.2,Zone 5,40.6,Zone 5,50.2,Zone 5
Andhra Pradesh,Krishna,Kv Gopalnagar Machilipatnam,27.2,2026-02-15,23:45:00,45.0,2026-02-15,23:45:00,2026-02-16 00:01:24,27.25,Zone 4,40.4,Zone 4,27.0,Zone 4,27.0,Zone 4,31.8,Zone 4,31.6,Zone 4,36.2,Zone 4,35.9,Zone 4,40.4,Zone 4,47.5,Zone 5
Andhra Pradesh,Nellore,Nellore Kvk,22.7,2026-02-15,23:45:00,99.0,2026-02-15,23:45:00,2026-02-16 00:01:24,24.450000000000045,Zone 3,51.8,Zone 5,24.2,Zone 3,25.7,Zone 4,30.0,Zone 4,35.5,Zone 5,35.9,Zone 4,49.1,Zone 5,51.8,Zone 5,53.3,Zone 5
