STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,24.9,2026-06-22,00:15:00,97.0,2026-06-21,00:15:00,2026-06-22 00:37:31,27.0,Zone 4,60.3,Zone 5,27.0,Zone 4,59.2,Zone 5,33.9,Zone 4,62.4,Zone 5,48.3,Zone 5,64.8,Zone 5,60.3,Zone 5,66.7,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,25.3,2026-06-22,00:15:00,95.0,2026-06-21,00:15:00,2026-06-22 00:37:31,27.8,Zone 4,60.7,Zone 5,27.8,Zone 4,59.6,Zone 5,34.8,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,26.2,2026-06-22,00:15:00,98.0,2026-06-21,00:15:00,2026-06-22 00:37:31,29.1,Zone 4,62.2,Zone 5,29.1,Zone 4,61.2,Zone 5,37.3,Zone 5,64.1,Zone 5,57.6,Zone 5,66.3,Zone 5,62.2,Zone 5,68.0,Zone 5
Andaman And Nicobar,N M Andaman,Mayabunder,25.4,2026-06-22,00:15:00,98.0,2026-06-21,00:15:00,2026-06-22 00:37:31,28.0,Zone 4,61.4,Zone 5,28.0,Zone 4,60.3,Zone 5,35.3,Zone 4,63.4,Zone 5,53.6,Zone 5,65.6,Zone 5,61.4,Zone 5,67.4,Zone 5
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,25.5,2026-06-22,00:15:00,99.0,2026-06-21,00:15:00,2026-06-22 00:37:31,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
Andaman And Nicobar,South Andaman,Ferrargunj,25.1,2026-06-22,00:30:00,82.0,2026-06-21,00:30:00,2026-06-22 00:37:31,26.0,Zone 4,51.7,Zone 5,26.0,Zone 4,46.9,Zone 5,32.0,Zone 4,59.7,Zone 5,37.5,Zone 4,62.4,Zone 5,51.7,Zone 5,64.5,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,24.5,2026-06-22,00:15:00,99.0,2026-06-21,00:15:00,2026-06-22 00:37:31,26.2,Zone 4,59.8,Zone 5,26.2,Zone 4,57.9,Zone 5,33.1,Zone 4,62.0,Zone 5,46.1,Zone 5,64.5,Zone 5,59.8,Zone 5,66.3,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,27.8,2026-06-22,00:15:00,95.0,2026-06-21,00:15:00,2026-06-22 00:37:31,33.7,Zone 4,65.1,Zone 5,33.7,Zone 4,64.1,Zone 5,53.5,Zone 5,66.7,Zone 5,62.0,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,26.2,2026-06-22,00:30:00,91.0,2026-06-21,00:30:00,2026-06-22 00:37:31,28.4,Zone 4,60.7,Zone 5,28.4,Zone 4,59.6,Zone 5,35.3,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,26.9,2026-06-22,00:30:00,82.0,2026-06-21,00:30:00,2026-06-22 00:37:31,29.4,Zone 4,60.4,Zone 5,29.4,Zone 4,59.3,Zone 5,36.0,Zone 4,62.5,Zone 5,48.8,Zone 5,64.9,Zone 5,60.4,Zone 5,66.7,Zone 5
