LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,STATE,EHI (in shade °C),EHI_350 (in shade °C),EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-05-24 07:56:14,RANGA_REDDY,DULLAPALLY,,25.2,80.0,,Zone 4,,Zone 5,TELANGANA,25.9,49.9,25.9,Zone 4,45.1,Zone 5,31.8,Zone 4,59.3,Zone 5,37.2,Zone 4,62.1,Zone 5,49.9,Zone 5,64.3,Zone 5
2025-05-24 07:56:14,RANGA_REDDY,ESCI_GACHIBOWLI,,25.1,84.0,,Zone 4,,Zone 5,TELANGANA,26.1,53.5,26.1,Zone 4,48.7,Zone 5,32.3,Zone 4,60.0,Zone 5,37.9,Zone 4,62.7,Zone 5,53.5,Zone 5,64.8,Zone 5
2025-05-24 07:56:14,RANGA_REDDY,GHATKESAR,,26.3,70.0,,Zone 4,,Zone 5,TELANGANA,27.5,50.3,27.5,Zone 4,45.5,Zone 5,33.2,Zone 4,59.4,Zone 5,38.4,Zone 4,62.1,Zone 5,50.3,Zone 5,64.3,Zone 5
2025-05-24 07:56:14,RANGA_REDDY,HAYATHNAGAR,,26.3,77.0,,Zone 4,,Zone 5,TELANGANA,28.0,56.8,28.0,Zone 4,52.4,Zone 5,34.1,Zone 4,60.8,Zone 5,39.7,Zone 4,63.4,Zone 5,56.8,Zone 5,65.4,Zone 5
2025-05-24 07:56:14,RANGA_REDDY,SERILINGAMPALLY,,27.7,81.0,,Zone 4,,Zone 5,TELANGANA,30.2,61.0,30.2,Zone 4,59.9,Zone 5,36.9,Zone 4,63.0,Zone 5,51.8,Zone 5,65.3,Zone 5,61.0,Zone 5,67.1,Zone 5
2025-05-24 07:56:14,SANGAREDDY,KANDI,,26.3,82.0,,Zone 4,,Zone 5,TELANGANA,28.5,59.6,28.5,Zone 4,56.9,Zone 5,34.9,Zone 4,61.8,Zone 5,44.8,Zone 5,64.3,Zone 5,59.6,Zone 5,66.2,Zone 5
2025-05-24 07:56:14,NIZAMABAD,RUDRUR,,26.2,91.0,,Zone 4,,Zone 5,TELANGANA,28.4,60.7,28.4,Zone 4,59.6,Zone 5,35.3,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
2025-05-24 07:56:14,SANGAREDDY,SANGAREDDY_AMFU,,26.5,85.0,,Zone 4,,Zone 5,TELANGANA,28.8,60.2,28.8,Zone 4,59.1,Zone 5,35.4,Zone 4,62.4,Zone 5,48.1,Zone 5,64.8,Zone 5,60.2,Zone 5,66.6,Zone 5
2025-05-24 07:56:14,SIDDIPET,KAVERI_SIDDIPET,,24.6,81.0,,Zone 3,,Zone 5,TELANGANA,25.2,47.5,25.2,Zone 3,42.8,Zone 5,31.1,Zone 4,58.2,Zone 5,36.5,Zone 4,61.6,Zone 5,47.5,Zone 5,63.9,Zone 5
2025-05-24 07:56:14,SURYAPET,SURYAPET_ARG,,28.4,87.0,,Zone 4,,Zone 5,TELANGANA,33.5,64.1,33.5,Zone 4,63.1,Zone 5,47.5,Zone 5,65.8,Zone 5,60.9,Zone 5,67.7,Zone 5,64.1,Zone 5,69.2,Zone 5
2025-05-24 07:56:14,VIKARABAD,TANDUR,,26.0,76.0,,Zone 4,,Zone 5,TELANGANA,27.1,52.8,27.1,Zone 4,48.0,Zone 5,33.1,Zone 4,59.9,Zone 5,38.5,Zone 4,62.6,Zone 5,52.8,Zone 5,64.7,Zone 5
2025-05-24 07:56:14,WANAPARTHY,HORTICULTURAL_UNIVERSITY_MOJER,,27.4,78.0,,Zone 4,,Zone 5,TELANGANA,29.9,60.3,29.9,Zone 4,59.2,Zone 5,36.3,Zone 4,62.4,Zone 5,48.2,Zone 5,64.8,Zone 5,60.3,Zone 5,66.7,Zone 5
2025-05-24 07:56:14,WARANGAL_RURAL,SIDDHAPUR,,27.6,100.0,,Zone 4,,Zone 5,TELANGANA,33.2,65.4,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-05-24 07:56:14,YADADRI_BHONGIR,CHOUTUPPAL,,27.2,75.0,,Zone 4,,Zone 5,TELANGANA,28.7,58.1,28.7,Zone 4,53.7,Zone 5,34.8,Zone 4,61.1,Zone 5,41.1,Zone 5,63.6,Zone 5,58.1,Zone 5,65.6,Zone 5
2025-05-24 07:56:14,DHALAI,GANDACHARA,,29.1,100.0,,Zone 5,,Zone 5,TRIPURA,46.8,68.1,46.8,Zone 5,67.2,Zone 5,62.0,Zone 5,69.3,Zone 5,65.6,Zone 5,72.6,Zone 6,68.1,Zone 5,76.1,Zone 6
2025-05-24 07:56:14,KHOWAI,KHOWAI,,29.5,89.0,,Zone 4,,Zone 5,TRIPURA,36.9,66.3,36.9,Zone 4,65.4,Zone 5,59.4,Zone 5,67.7,Zone 5,63.5,Zone 5,69.5,Zone 6,66.3,Zone 5,72.9,Zone 6
2025-05-24 07:56:14,KHOWAI,TELIAMURA,,30.9,87.0,,Zone 5,,Zone 5,TRIPURA,50.1,68.5,50.1,Zone 5,67.7,Zone 5,62.6,Zone 5,69.9,Zone 6,66.1,Zone 5,73.4,Zone 6,68.5,Zone 5,76.8,Zone 6
2025-05-24 07:56:14,NORTH_TRIPURA,ASHAPARA,,29.1,100.0,,Zone 5,,Zone 5,TRIPURA,46.8,68.1,46.8,Zone 5,67.2,Zone 5,62.0,Zone 5,69.3,Zone 5,65.6,Zone 5,72.6,Zone 6,68.1,Zone 5,76.1,Zone 6
2025-05-24 07:56:14,SANGAREDDY,ZAHEERABAD,,24.0,81.0,,Zone 3,,Zone 5,TELANGANA,24.7,44.2,24.7,Zone 3,39.8,Zone 5,30.3,Zone 4,55.6,Zone 5,35.6,Zone 4,61.0,Zone 5,44.2,Zone 5,63.3,Zone 5
2025-05-24 07:56:14,SIPAHIJALA,SIPAHIJALA,,31.1,60.0,,Zone 4,,Zone 5,TRIPURA,34.0,61.1,34.0,Zone 4,60.0,Zone 5,40.0,Zone 4,63.1,Zone 5,52.2,Zone 5,65.4,Zone 5,61.1,Zone 5,67.2,Zone 5
