LOGGED_AT (IST),STATE,DISTRICT,STATION,TEMP,RH,EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-08-11 00:39:38,ANDAMAN_AND_NICOBAR,NICOBAR,CAR_NICOBAR,25.8,98.0,29.1,Zone 4,62.2,Zone 5,29.1,Zone 4,61.2,Zone 5,37.3,Zone 5,64.1,Zone 5,57.6,Zone 5,66.3,Zone 5,62.2,Zone 5,68.0,Zone 5
2025-08-11 00:39:38,MIZORAM,MAMIT,LENGPUI_KVK,24.4,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-08-11 00:39:38,MIZORAM,SAIHA,SAIHA,20.7,100.0,21.4,Zone 3,36.8,Zone 5,21.4,Zone 3,35.4,Zone 4,26.4,Zone 4,48.3,Zone 5,31.6,Zone 4,59.5,Zone 5,36.8,Zone 5,61.9,Zone 5
2025-08-11 00:39:38,MIZORAM,SERCHHIP,SERCHHIP,22.3,68.0,22.3,Zone 3,36.4,Zone 4,22.3,Zone 3,35.4,Zone 4,27.4,Zone 4,39.7,Zone 4,32.0,Zone 4,52.3,Zone 5,36.4,Zone 4,60.0,Zone 5
2025-08-11 00:39:38,NAGALAND,DIMAPUR,DIMAPUR,27.0,87.0,29.9,Zone 4,61.5,Zone 5,29.9,Zone 4,60.5,Zone 5,36.9,Zone 4,63.5,Zone 5,54.4,Zone 5,65.8,Zone 5,61.5,Zone 5,67.5,Zone 5
2025-08-11 00:39:38,NAGALAND,KIPHIRE,KIPHIRE_AWS400,22.0,100.0,23.2,Zone 3,46.0,Zone 5,23.2,Zone 3,41.4,Zone 5,28.6,Zone 4,57.0,Zone 5,34.2,Zone 4,61.4,Zone 5,46.0,Zone 5,63.6,Zone 5
2025-08-11 00:39:38,NAGALAND,LONGLENG,SAKSHI,23.5,100.0,24.8,Zone 3,56.4,Zone 5,24.8,Zone 3,51.8,Zone 5,31.2,Zone 4,60.7,Zone 5,39.2,Zone 5,63.3,Zone 5,56.4,Zone 5,65.3,Zone 5
2025-08-11 00:39:38,NAGALAND,PEREN,JALUKIE,24.5,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-08-11 00:39:38,NAGALAND,TUENSANG,THONOKNYU,19.2,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-08-11 00:39:38,NAGALAND,WOKHA,WOKHA,21.6,94.0,22.3,Zone 3,38.7,Zone 5,22.3,Zone 3,36.5,Zone 4,27.4,Zone 4,50.4,Zone 5,32.7,Zone 4,59.9,Zone 5,38.7,Zone 5,62.3,Zone 5
2025-08-11 00:39:38,NAGALAND,ZUNHEBOTO,ZUNHEBOTO_KVK,22.6,100.0,23.7,Zone 3,49.5,Zone 5,23.7,Zone 3,44.7,Zone 5,29.4,Zone 4,59.2,Zone 5,35.1,Zone 4,62.0,Zone 5,49.5,Zone 5,64.2,Zone 5
2025-08-11 00:39:38,ODISHA,BALASORE,FM_UNIVERSITY,26.7,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-08-11 00:39:38,ODISHA,CUTTACK,CUTTACK_KVK,27.8,100.0,34.8,Zone 4,66.3,Zone 5,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-08-11 00:39:38,ODISHA,GANJAM,BENAKUDA_KVK,25.1,98.0,27.1,Zone 4,60.5,Zone 5,27.1,Zone 4,59.4,Zone 5,34.1,Zone 4,62.6,Zone 5,49.3,Zone 5,65.0,Zone 5,60.5,Zone 5,66.8,Zone 5
2025-08-11 00:39:38,ODISHA,JHARSUGUDA,LIKERA,18.3,100.0,18.9,Zone 3,33.5,Zone 4,18.9,Zone 3,32.4,Zone 4,24.3,Zone 3,37.6,Zone 5,28.8,Zone 4,51.2,Zone 5,33.5,Zone 4,59.8,Zone 5
2025-08-11 00:39:38,ODISHA,KANDHAMAL,PHULBANI,23.2,99.0,24.3,Zone 3,52.2,Zone 5,24.3,Zone 3,47.4,Zone 5,30.2,Zone 4,59.8,Zone 5,36.0,Zone 4,62.5,Zone 5,52.2,Zone 5,64.6,Zone 5
2025-08-11 00:39:38,ODISHA,KENDRAPARA,KENDRAPARA,41.4,94.0,106.8,Zone 6,117.0,Zone 6,106.8,Zone 6,115.0,Zone 6,110.3,Zone 6,118.4,Zone 6,113.7,Zone 6,121.7,Zone 6,117.0,Zone 6,124.9,Zone 6
2025-08-11 00:39:38,ODISHA,KHURDHA,PITAPALLI,26.4,75.0,27.9,Zone 4,55.0,Zone 5,27.9,Zone 4,50.4,Zone 5,33.9,Zone 4,60.4,Zone 5,39.3,Zone 4,63.0,Zone 5,55.0,Zone 5,65.1,Zone 5
2025-08-11 00:39:38,ODISHA,MAYURBHANJ,BARIPADA,26.3,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-08-11 00:39:38,ODISHA,MAYURBHANJ,JAMSOLAGHAT,26.3,98.0,30.2,Zone 4,63.1,Zone 5,30.2,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
2025-08-11 00:39:38,ODISHA,PURI,JANHUKUDA(NEAR_SATAPADA),17.1,57.0,14.7,Zone 3,29.4,Zone 4,14.7,Zone 3,28.9,Zone 4,21.9,Zone 3,32.5,Zone 4,25.6,Zone 4,36.0,Zone 4,29.4,Zone 4,39.4,Zone 4
2025-08-11 00:39:38,ODISHA,PURI,PURI_KVK,27.0,43.0,26.4,Zone 4,39.3,Zone 4,26.4,Zone 4,38.4,Zone 4,31.1,Zone 4,42.4,Zone 4,35.3,Zone 4,53.5,Zone 5,39.3,Zone 4,60.2,Zone 5
2025-08-11 00:39:38,MIZORAM,LAWNGTLAI,CHAWNHU,21.6,100.0,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
2025-08-11 00:39:38,ODISHA,RAYAGADA,GUNUPUR_KVK,26.2,100.0,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
2025-08-11 00:39:38,MIZORAM,KOLASIB,KOLASIB,23.9,100.0,25.4,Zone 4,59.1,Zone 5,25.4,Zone 4,55.3,Zone 5,32.2,Zone 4,61.4,Zone 5,42.9,Zone 5,64.0,Zone 5,59.1,Zone 5,65.9,Zone 5
2025-08-11 00:39:38,MIZORAM,HNATHIAL,HNATHIAL,23.1,100.0,24.3,Zone 3,53.0,Zone 5,24.3,Zone 3,48.2,Zone 5,30.3,Zone 4,59.9,Zone 5,36.1,Zone 4,62.6,Zone 5,53.0,Zone 5,64.8,Zone 5
2025-08-11 00:39:38,MANIPUR,NONEY,KHOUPUM,23.0,100.0,24.3,Zone 3,53.0,Zone 5,24.3,Zone 3,48.2,Zone 5,30.3,Zone 4,59.9,Zone 5,36.1,Zone 4,62.6,Zone 5,53.0,Zone 5,64.8,Zone 5
2025-08-11 00:39:38,MANIPUR,SENAPATI,MAO,18.4,100.0,18.9,Zone 3,33.5,Zone 4,18.9,Zone 3,32.4,Zone 4,24.3,Zone 3,37.6,Zone 5,28.8,Zone 4,51.2,Zone 5,33.5,Zone 4,59.8,Zone 5
2025-08-11 00:39:38,MANIPUR,TENGNOUPAL,ADC MOREH,27.2,95.0,31.0,Zone 4,63.4,Zone 5,31.0,Zone 4,62.3,Zone 5,43.0,Zone 5,65.1,Zone 5,59.9,Zone 5,67.1,Zone 5,63.4,Zone 5,68.7,Zone 5
2025-08-11 00:39:38,MANIPUR,THOUBAL,THOUBAL,22.1,99.0,23.1,Zone 3,45.3,Zone 5,23.1,Zone 3,40.7,Zone 5,28.5,Zone 4,56.4,Zone 5,34.1,Zone 4,61.2,Zone 5,45.3,Zone 5,63.5,Zone 5
2025-08-11 00:39:38,MANIPUR,UKHRUL,MOLNOM,19.5,100.0,20.2,Zone 3,35.0,Zone 4,20.2,Zone 3,33.8,Zone 4,25.1,Zone 3,42.6,Zone 5,30.1,Zone 4,56.1,Zone 5,35.0,Zone 4,60.8,Zone 5
