LOGGED_AT (IST),STATE,DISTRICT,STATION,TEMP,RH,EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-09-29 00:40:30,ANDAMAN_AND_NICOBAR,SOUTH_ANDAMAN,HUT_BAY,25.3,99.0,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-09-29 00:40:30,MIZORAM,HNATHIAL,HNATHIAL,22.3,100.0,23.7,Zone 3,49.5,Zone 5,23.7,Zone 3,44.7,Zone 5,29.4,Zone 4,59.2,Zone 5,35.1,Zone 4,62.0,Zone 5,49.5,Zone 5,64.2,Zone 5
2025-09-29 00:40:30,MIZORAM,KHAWZAWL,KHAWZAWL,20.2,100.0,20.8,Zone 3,35.8,Zone 4,20.8,Zone 3,34.6,Zone 4,25.7,Zone 4,45.4,Zone 5,30.9,Zone 4,58.4,Zone 5,35.8,Zone 4,61.4,Zone 5
2025-09-29 00:40:30,MIZORAM,KOLASIB,KOLASIB,24.8,100.0,27.2,Zone 4,60.9,Zone 5,27.2,Zone 4,59.8,Zone 5,34.4,Zone 4,63.0,Zone 5,51.3,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
2025-09-29 00:40:30,MIZORAM,LAWNGTLAI,CHAWNHU,22.0,100.0,23.2,Zone 3,46.0,Zone 5,23.2,Zone 3,41.4,Zone 5,28.6,Zone 4,57.0,Zone 5,34.2,Zone 4,61.4,Zone 5,46.0,Zone 5,63.6,Zone 5
2025-09-29 00:40:30,MIZORAM,MAMIT,LENGPUI_KVK,25.4,100.0,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-09-29 00:40:30,MIZORAM,SAIHA,SAIHA,21.0,93.0,21.7,Zone 3,36.8,Zone 4,21.7,Zone 3,35.6,Zone 4,26.7,Zone 4,46.8,Zone 5,31.9,Zone 4,59.1,Zone 5,36.8,Zone 4,61.7,Zone 5
2025-09-29 00:40:30,NAGALAND,DIMAPUR,DIMAPUR,27.6,100.0,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-09-29 00:40:30,NAGALAND,PEREN,JALUKIE,24.5,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-09-29 00:40:30,ODISHA,BALANGIR,BOLANGIR,25.4,100.0,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-09-29 00:40:30,ODISHA,BALASORE,FM_UNIVERSITY,27.2,100.0,31.8,Zone 4,64.5,Zone 5,31.8,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.5,Zone 6
2025-09-29 00:40:30,ODISHA,BARGARH,BARAGARH,25.5,99.0,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-09-29 00:40:30,ODISHA,GANJAM,BENAKUDA_KVK,26.5,90.0,29.3,Zone 4,61.4,Zone 5,29.3,Zone 4,60.3,Zone 5,36.3,Zone 4,63.4,Zone 5,53.6,Zone 5,65.6,Zone 5,61.4,Zone 5,67.4,Zone 5
2025-09-29 00:40:30,ODISHA,KANDHAMAL,PHULBANI,24.0,100.0,25.4,Zone 4,59.1,Zone 5,25.4,Zone 4,55.3,Zone 5,32.2,Zone 4,61.4,Zone 5,42.9,Zone 5,64.0,Zone 5,59.1,Zone 5,65.9,Zone 5
2025-09-29 00:40:30,ODISHA,KHURDHA,BHUBANESHWAR AIRPORT,25.5,95.0,27.8,Zone 4,60.7,Zone 5,27.8,Zone 4,59.6,Zone 5,34.8,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
2025-09-29 00:40:30,ODISHA,KHURDHA,PITAPALLI,26.6,83.0,28.6,Zone 4,59.8,Zone 5,28.6,Zone 4,57.8,Zone 5,35.0,Zone 4,62.0,Zone 5,45.9,Zone 5,64.4,Zone 5,59.8,Zone 5,66.3,Zone 5
2025-09-29 00:40:30,ODISHA,MAYURBHANJ,BARIPADA,26.4,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-09-29 00:40:30,ODISHA,MAYURBHANJ,JAMSOLAGHAT,26.8,99.0,31.6,Zone 4,64.2,Zone 5,31.6,Zone 4,63.2,Zone 5,48.2,Zone 5,65.9,Zone 5,61.0,Zone 5,67.8,Zone 5,64.2,Zone 5,69.3,Zone 5
2025-09-29 00:40:30,MIZORAM,CHAMPHAI,CHAMPHAI_AWS,19.1,100.0,19.5,Zone 3,34.2,Zone 4,19.5,Zone 3,33.1,Zone 4,24.7,Zone 3,40.0,Zone 5,29.4,Zone 4,53.7,Zone 5,34.2,Zone 4,60.3,Zone 5
2025-09-29 00:40:30,ODISHA,PURI,PURI_KVK,27.3,34.0,26.4,Zone 4,38.6,Zone 4,26.4,Zone 4,37.8,Zone 4,30.8,Zone 4,41.5,Zone 4,34.8,Zone 4,47.8,Zone 5,38.6,Zone 4,59.0,Zone 5
2025-09-29 00:40:30,MIZORAM,AIZAWL,MIZORAM_UNIVERSITY,24.7,99.0,26.2,Zone 4,59.8,Zone 5,26.2,Zone 4,57.9,Zone 5,33.1,Zone 4,62.0,Zone 5,46.1,Zone 5,64.5,Zone 5,59.8,Zone 5,66.3,Zone 5
2025-09-29 00:40:30,MEGHALAYA,WEST_KHASI_HILLS,NONGSTOIN,19.5,100.0,20.2,Zone 3,35.0,Zone 4,20.2,Zone 3,33.8,Zone 4,25.1,Zone 3,42.6,Zone 5,30.1,Zone 4,56.1,Zone 5,35.0,Zone 4,60.8,Zone 5
2025-09-29 00:40:30,MANIPUR,SENAPATI,MAO,18.2,100.0,18.3,Zone 3,32.7,Zone 4,18.3,Zone 3,31.7,Zone 4,23.9,Zone 3,36.3,Zone 4,28.1,Zone 4,48.6,Zone 5,32.7,Zone 4,59.2,Zone 5
2025-09-29 00:40:30,MANIPUR,TENGNOUPAL,ADC MOREH,25.8,100.0,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
2025-09-29 00:40:30,MANIPUR,THOUBAL,THOUBAL,20.8,99.0,22.0,Zone 3,39.0,Zone 5,22.0,Zone 3,36.1,Zone 4,27.0,Zone 4,50.6,Zone 5,32.4,Zone 4,60.0,Zone 5,39.0,Zone 5,62.4,Zone 5
2025-09-29 00:40:30,MANIPUR,UKHRUL,MOLNOM,19.9,99.0,20.8,Zone 3,35.7,Zone 4,20.8,Zone 3,34.5,Zone 4,25.6,Zone 4,44.8,Zone 5,30.8,Zone 4,57.9,Zone 5,35.7,Zone 4,61.3,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_GARO_HILLS,WILLIAMNAGAR,24.7,89.0,25.6,Zone 4,54.4,Zone 5,25.6,Zone 4,49.7,Zone 5,31.9,Zone 4,60.2,Zone 5,37.6,Zone 4,62.9,Zone 5,54.4,Zone 5,65.0,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_KHASI_HILLS,LABAN,19.8,91.0,20.4,Zone 3,35.0,Zone 4,20.4,Zone 3,33.9,Zone 4,25.3,Zone 4,40.3,Zone 5,30.3,Zone 4,53.9,Zone 5,35.0,Zone 4,60.4,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_KHASI_HILLS,MAWSYNRAM,20.7,88.0,20.9,Zone 3,35.5,Zone 4,20.9,Zone 3,34.4,Zone 4,25.8,Zone 4,41.1,Zone 5,30.8,Zone 4,54.7,Zone 5,35.5,Zone 4,60.5,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_KHASI_HILLS,NEHU,19.9,100.0,20.8,Zone 3,35.8,Zone 4,20.8,Zone 3,34.6,Zone 4,25.7,Zone 4,45.4,Zone 5,30.9,Zone 4,58.4,Zone 5,35.8,Zone 4,61.4,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_KHASI_HILLS,SECRETARIAT_HILLS,20.7,100.0,21.4,Zone 3,36.8,Zone 5,21.4,Zone 3,35.4,Zone 4,26.4,Zone 4,48.3,Zone 5,31.6,Zone 4,59.5,Zone 5,36.8,Zone 5,61.9,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_KHASI_HILLS,SHILLONG,19.8,87.0,20.2,Zone 3,34.6,Zone 4,20.2,Zone 3,33.6,Zone 4,25.2,Zone 3,38.2,Zone 5,30.0,Zone 4,51.8,Zone 5,34.6,Zone 4,59.9,Zone 5
2025-09-29 00:40:30,MEGHALAYA,EAST_WEST_KHASI_HILLS,MAIRANG,18.6,87.0,18.3,Zone 3,32.6,Zone 4,18.3,Zone 3,31.7,Zone 4,24.0,Zone 3,36.0,Zone 4,28.2,Zone 4,44.6,Zone 5,32.6,Zone 4,56.5,Zone 5
2025-09-29 00:40:30,MEGHALAYA,NORTH_GARO_HILLS,RESUBELPARA,25.8,100.0,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
2025-09-29 00:40:30,MEGHALAYA,RI_BHOI,BYRNIHAT,26.4,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-09-29 00:40:30,MEGHALAYA,SOUTH_GARO_HILLS,BAGHMARA,25.9,99.0,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
2025-09-29 00:40:30,MEGHALAYA,SOUTH_WEST_GARO_HILLS,AMPATI,25.2,99.0,27.1,Zone 4,60.7,Zone 5,27.1,Zone 4,59.6,Zone 5,34.2,Zone 4,62.8,Zone 5,50.3,Zone 5,65.1,Zone 5,60.7,Zone 5,66.9,Zone 5
2025-09-29 00:40:30,MEGHALAYA,SOUTH_WEST_KHASI_HILLS,MAWKYRWAT,17.9,100.0,18.3,Zone 3,32.7,Zone 4,18.3,Zone 3,31.7,Zone 4,23.9,Zone 3,36.3,Zone 4,28.1,Zone 4,48.6,Zone 5,32.7,Zone 4,59.2,Zone 5
2025-09-29 00:40:30,MEGHALAYA,WEST_GARO_HILLS,TURA,24.3,88.0,25.6,Zone 4,53.5,Zone 5,25.6,Zone 4,48.8,Zone 5,31.8,Zone 4,60.0,Zone 5,37.5,Zone 4,62.8,Zone 5,53.5,Zone 5,64.8,Zone 5
2025-09-29 00:40:30,MEGHALAYA,WEST_KHASI_HILLS,NONGSTOIN_KVK,18.2,99.0,18.2,Zone 3,32.7,Zone 4,18.2,Zone 3,31.7,Zone 4,23.9,Zone 3,36.2,Zone 4,28.1,Zone 4,48.1,Zone 5,32.7,Zone 4,59.1,Zone 5
2025-09-29 00:40:30,MANIPUR,NONEY,KHOUPUM,21.6,100.0,22.6,Zone 3,42.7,Zone 5,22.6,Zone 3,38.4,Zone 5,27.8,Zone 4,54.2,Zone 5,33.3,Zone 4,60.7,Zone 5,42.7,Zone 5,63.1,Zone 5
2025-09-29 00:40:30,ODISHA,RAYAGADA,GUNUPUR_KVK,26.3,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-09-29 00:40:30,ODISHA,SUNDERGARH,SUNDERGARH,26.4,88.0,29.1,Zone 4,60.9,Zone 5,29.1,Zone 4,59.8,Zone 5,35.9,Zone 4,63.0,Zone 5,51.4,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
2025-09-29 00:40:30,RAJASTHAN,BIKANER,LUNKARNSAR,29.8,73.0,34.4,Zone 4,63.1,Zone 5,34.4,Zone 4,62.1,Zone 5,41.6,Zone 5,64.9,Zone 5,59.6,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
2025-09-29 00:40:30,RAJASTHAN,CHURU,CHURU,29.2,74.0,32.3,Zone 4,61.7,Zone 5,32.3,Zone 4,60.6,Zone 5,38.9,Zone 4,63.7,Zone 5,55.3,Zone 5,65.9,Zone 5,61.7,Zone 5,67.6,Zone 5
2025-09-29 00:40:30,RAJASTHAN,DAUSA,KHEDALI,27.0,90.0,30.3,Zone 4,62.2,Zone 5,30.3,Zone 4,61.2,Zone 5,37.5,Zone 4,64.1,Zone 5,57.5,Zone 5,66.3,Zone 5,62.2,Zone 5,68.0,Zone 5
2025-09-29 00:40:30,RAJASTHAN,JAIPUR,AMITY_UNIVERSITY,27.0,88.0,30.1,Zone 4,61.8,Zone 5,30.1,Zone 4,60.7,Zone 5,37.1,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-09-29 00:40:30,RAJASTHAN,JAIPUR,JAIPUR_AMFU,28.4,69.0,30.7,Zone 4,59.6,Zone 5,30.7,Zone 4,57.3,Zone 5,36.7,Zone 4,61.9,Zone 5,45.2,Zone 5,64.3,Zone 5,59.6,Zone 5,66.2,Zone 5
2025-09-29 00:40:30,RAJASTHAN,JAISALMER,JAISALMER,29.4,38.0,28.9,Zone 4,41.8,Zone 4,28.9,Zone 4,40.8,Zone 4,33.5,Zone 4,45.7,Zone 5,37.8,Zone 4,58.6,Zone 5,41.8,Zone 4,61.5,Zone 5
2025-09-29 00:40:30,RAJASTHAN,JALORE,JALORE_KVK,27.3,86.0,30.9,Zone 4,62.2,Zone 5,30.9,Zone 4,61.1,Zone 5,38.0,Zone 4,64.1,Zone 5,57.3,Zone 5,66.2,Zone 5,62.2,Zone 5,67.9,Zone 5
2025-09-29 00:40:30,RAJASTHAN,JHUNJHUNU,JHUNJHUNU(AWS),29.0,100.0,46.8,Zone 5,68.1,Zone 5,46.8,Zone 5,67.2,Zone 5,62.0,Zone 5,69.3,Zone 5,65.6,Zone 5,72.6,Zone 6,68.1,Zone 5,76.1,Zone 6
2025-09-29 00:40:30,RAJASTHAN,JHUNJHUNU,PILANI,25.3,65.0,25.8,Zone 4,40.6,Zone 4,25.8,Zone 4,39.4,Zone 4,31.1,Zone 4,51.4,Zone 5,36.0,Zone 4,60.1,Zone 5,40.6,Zone 4,62.5,Zone 5
2025-09-29 00:40:30,RAJASTHAN,JODHPUR,JODHPUR,30.6,72.0,35.4,Zone 4,63.7,Zone 5,35.4,Zone 4,62.6,Zone 5,44.7,Zone 5,65.4,Zone 5,60.3,Zone 5,67.4,Zone 5,63.7,Zone 5,68.9,Zone 5
2025-09-29 00:40:30,RAJASTHAN,NAGAUR,KRISHI_VISHWAVIDHYALAYA,27.3,85.0,30.8,Zone 4,61.9,Zone 5,30.8,Zone 4,60.9,Zone 5,37.7,Zone 4,63.9,Zone 5,56.2,Zone 5,66.1,Zone 5,61.9,Zone 5,67.8,Zone 5
2025-09-29 00:40:30,RAJASTHAN,PALI,PALI,24.7,29.0,22.6,Zone 3,34.9,Zone 4,22.6,Zone 3,34.3,Zone 4,27.6,Zone 4,37.8,Zone 4,31.3,Zone 4,41.1,Zone 4,34.9,Zone 4,46.3,Zone 5
2025-09-29 00:40:30,RAJASTHAN,PRATAPGARH,PRATAPGARH,25.4,100.0,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-09-29 00:40:30,RAJASTHAN,SIKAR,SIKAR,27.0,83.0,29.5,Zone 4,60.6,Zone 5,29.5,Zone 4,59.5,Zone 5,36.1,Zone 4,62.7,Zone 5,50.0,Zone 5,65.1,Zone 5,60.6,Zone 5,66.9,Zone 5
2025-09-29 00:40:30,RAJASTHAN,SIROHI,SIROHI_KVK,28.1,76.0,30.6,Zone 4,60.6,Zone 5,30.6,Zone 4,59.5,Zone 5,37.0,Zone 4,62.7,Zone 5,49.9,Zone 5,65.1,Zone 5,60.6,Zone 5,66.9,Zone 5
2025-09-29 00:40:30,RAJASTHAN,SRI_GANGANAGAR,GHARSANA,29.9,71.0,34.0,Zone 4,62.6,Zone 5,34.0,Zone 4,61.5,Zone 5,40.6,Zone 4,64.4,Zone 5,59.0,Zone 5,66.5,Zone 5,62.6,Zone 5,68.2,Zone 5
2025-09-29 00:40:30,RAJASTHAN,TONK,TONK,27.9,100.0,34.8,Zone 4,66.3,Zone 5,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-09-29 00:40:30,RAJASTHAN,BIKANER,CHATTARGARH,29.3,100.0,54.1,Zone 5,69.0,Zone 5,54.1,Zone 5,68.2,Zone 5,63.3,Zone 5,70.8,Zone 6,66.7,Zone 5,74.3,Zone 6,69.0,Zone 5,77.8,Zone 6
2025-09-29 00:40:30,ODISHA,SAMBALPUR,DHANKAUDA,25.9,91.0,28.4,Zone 4,60.7,Zone 5,28.4,Zone 4,59.6,Zone 5,35.3,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
2025-09-29 00:40:30,RAJASTHAN,BIKANER,BIKANER_AMFU,29.5,71.0,32.9,Zone 4,61.8,Zone 5,32.9,Zone 4,60.7,Zone 5,39.4,Zone 4,63.7,Zone 5,55.4,Zone 5,65.9,Zone 5,61.8,Zone 5,67.6,Zone 5
2025-09-29 00:40:30,PUNJAB,SHAHID_BHAGAT_SINGH_NAGAR,BALACHAR_AMFU,25.0,99.0,27.1,Zone 4,60.7,Zone 5,27.1,Zone 4,59.6,Zone 5,34.2,Zone 4,62.8,Zone 5,50.3,Zone 5,65.1,Zone 5,60.7,Zone 5,66.9,Zone 5
2025-09-29 00:40:30,PUDUCHERRY,KARAIKAL,KARAIKAL,27.5,99.0,33.0,Zone 4,65.1,Zone 5,33.0,Zone 4,64.2,Zone 5,53.6,Zone 5,66.7,Zone 5,62.1,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
2025-09-29 00:40:30,PUDUCHERRY,MAHE,MAHE_JNV,24.6,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-09-29 00:40:30,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY,28.1,87.0,32.2,Zone 4,63.3,Zone 5,32.2,Zone 4,62.2,Zone 5,42.5,Zone 5,65.0,Zone 5,59.8,Zone 5,67.1,Zone 5,63.3,Zone 5,68.6,Zone 5
2025-09-29 00:40:30,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY_KVK,27.5,100.0,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-09-29 00:40:30,PUNJAB,BATHINDA,BHATINDA_AMFU,29.9,21.0,28.2,Zone 4,39.3,Zone 4,28.2,Zone 4,38.7,Zone 4,32.2,Zone 4,42.1,Zone 4,35.9,Zone 4,45.3,Zone 4,39.3,Zone 4,56.2,Zone 5
