STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andaman And Nicobar,Nicobar,Campbell Bay,25.8,2026-06-28,23:45:00,96.0,2026-06-28,23:45:00,2026-06-29 00:20:13,28.9,Zone 4,61.8,Zone 5,28.9,Zone 4,60.7,Zone 5,36.1,Zone 4,63.8,Zone 5,55.7,Zone 5,66.0,Zone 5,61.8,Zone 5,67.7,Zone 5
Andaman And Nicobar,Nicobar,Car Nicobar,25.6,2026-06-29,00:00:00,95.0,2026-06-28,00:00:00,2026-06-29 00:20:13,27.8,Zone 4,60.7,Zone 5,27.8,Zone 4,59.6,Zone 5,34.8,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
Andaman And Nicobar,Nicobar,Nancowry,26.7,2026-06-29,00:00:00,98.0,2026-06-28,00:00:00,2026-06-29 00:20:13,30.2,Zone 4,63.1,Zone 5,30.2,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
Andaman And Nicobar,N M Andaman,Mayabunder,26.2,2026-06-28,23:45:00,99.0,2026-06-28,23:45:00,2026-06-29 00:20:13,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
Andaman And Nicobar,N M Andaman,Rangat Nimbutala,26.1,2026-06-29,00:00:00,99.0,2026-06-28,00:00:00,2026-06-29 00:20:13,29.2,Zone 4,62.5,Zone 5,29.2,Zone 4,61.4,Zone 5,38.3,Zone 5,64.3,Zone 5,58.5,Zone 5,66.5,Zone 5,62.5,Zone 5,68.1,Zone 5
Andaman And Nicobar,South Andaman,Hut Bay,25.2,2026-06-29,00:00:00,99.0,2026-06-28,00:00:00,2026-06-29 00:20:13,27.1,Zone 4,60.7,Zone 5,27.1,Zone 4,59.6,Zone 5,34.2,Zone 4,62.8,Zone 5,50.3,Zone 5,65.1,Zone 5,60.7,Zone 5,66.9,Zone 5
Andaman And Nicobar,South Andaman,Shaheed Dweep,28.1,2026-06-29,00:00:00,95.0,2026-06-28,00:00:00,2026-06-29 00:20:13,33.7,Zone 4,65.1,Zone 5,33.7,Zone 4,64.1,Zone 5,53.5,Zone 5,66.7,Zone 5,62.0,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
Andaman And Nicobar,South Andaman,Sri Vijaya Puram Aws400,26.4,2026-06-29,00:15:00,93.0,2026-06-28,00:15:00,2026-06-29 00:20:13,29.6,Zone 4,62.0,Zone 5,29.6,Zone 4,61.0,Zone 5,36.9,Zone 4,64.0,Zone 5,56.7,Zone 5,66.1,Zone 5,62.0,Zone 5,67.8,Zone 5
Andaman And Nicobar,South Andaman,Swaraj Deep,27.2,2026-06-29,00:15:00,80.0,2026-06-28,00:15:00,2026-06-29 00:20:13,29.2,Zone 4,59.9,Zone 5,29.2,Zone 4,58.3,Zone 5,35.6,Zone 4,62.1,Zone 5,46.5,Zone 5,64.5,Zone 5,59.9,Zone 5,66.4,Zone 5
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,24.9,2026-06-29,00:00:00,93.0,2026-06-28,00:00:00,2026-06-29 00:20:13,26.7,Zone 4,59.5,Zone 5,26.7,Zone 4,56.5,Zone 5,33.4,Zone 4,61.7,Zone 5,44.3,Zone 5,64.2,Zone 5,59.5,Zone 5,66.1,Zone 5
