STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andhra Pradesh,Kakinada,Kakinada,27.4,2026-08-31,01:00:00,78.0,2026-08-30,01:00:00,2026-08-31 01:18:56,29.9,Zone 4,60.3,Zone 5,29.9,Zone 4,59.2,Zone 5,36.3,Zone 4,62.4,Zone 5,48.2,Zone 5,64.8,Zone 5,60.3,Zone 5,66.7,Zone 5
Andhra Pradesh,Kakinada,Peddapuram,27.2,2026-08-31,01:00:00,88.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.1,Zone 4,61.8,Zone 5,30.1,Zone 4,60.7,Zone 5,37.1,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Arg,26.5,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
Andhra Pradesh,Konaseema,Ambajipeta Aws,26.6,2026-08-31,01:00:00,97.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.1,Zone 4,62.9,Zone 5,30.1,Zone 4,61.9,Zone 5,40.6,Zone 5,64.7,Zone 5,59.4,Zone 5,66.8,Zone 5,62.9,Zone 5,68.4,Zone 5
Andhra Pradesh,Ntr,Mylavaram College Of  Engineer,27.9,2026-08-31,01:00:00,69.0,2026-08-30,01:00:00,2026-08-31 01:18:56,29.8,Zone 4,58.5,Zone 5,29.8,Zone 4,54.2,Zone 5,35.8,Zone 4,61.2,Zone 5,41.6,Zone 5,63.7,Zone 5,58.5,Zone 5,65.7,Zone 5
Andhra Pradesh,Prakasam,Cs Puram,29.3,2026-08-31,01:00:00,59.0,2026-08-30,01:00:00,2026-08-31 01:18:56,31.1,Zone 4,57.2,Zone 5,31.1,Zone 4,52.8,Zone 5,36.8,Zone 4,60.9,Zone 5,41.9,Zone 4,63.5,Zone 5,57.2,Zone 5,65.5,Zone 5
Andhra Pradesh,Srikakulam,Nagaralapeta Kalingapatnam,27.2,2026-08-31,01:00:00,89.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.2,Zone 4,62.0,Zone 5,30.2,Zone 4,60.9,Zone 5,37.3,Zone 4,63.9,Zone 5,56.5,Zone 5,66.1,Zone 5,62.0,Zone 5,67.8,Zone 5
Andhra Pradesh,Srikakulam,Ragolu,26.1,2026-08-31,01:00:00,93.0,2026-08-30,01:00:00,2026-08-31 01:18:56,28.6,Zone 4,61.2,Zone 5,28.6,Zone 4,60.1,Zone 5,35.6,Zone 4,63.2,Zone 5,52.6,Zone 5,65.5,Zone 5,61.2,Zone 5,67.2,Zone 5
Andhra Pradesh,Sri Potti Sriramulu Nellore,Podalakur,28.6,2026-08-31,00:30:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Visakhapatnam,Anandapuram Arg,27.7,2026-08-31,01:00:00,67.0,2026-08-30,01:00:00,2026-08-31 01:18:56,28.8,Zone 4,53.6,Zone 5,28.8,Zone 4,48.9,Zone 5,34.5,Zone 4,60.1,Zone 5,39.8,Zone 4,62.8,Zone 5,53.6,Zone 5,64.9,Zone 5
